domain_domain_interaction	count_new	frequency	domain_1	domain_2	domain1_description	domain2_description
BTB--C2	4	0.000126702565726956	BTB	C2	BTB/POZdomain	C2domain
BTK--C2	1	3.1675641431739e-05	BTK	C2	BTKmotif	C2domain
Beta-APP--C2	1	3.1675641431739e-05	Beta-APP	C2	Beta-amyloidpeptide(beta-APP)	C2domain
C2--C2	1	3.1675641431739e-05	C2	C2	C2domain	C2domain
bZIP_1--C2	1	3.1675641431739e-05	bZIP_1	C2	bZIPtranscriptionfactor	C2domain
ABC_membrane--C4	1	3.1675641431739e-05	ABC_membrane	C4	ABCtransportertransmembraneregion	C-terminaltandemrepeateddomainintype4procollagen
ABC_tran--C4	1	3.1675641431739e-05	ABC_tran	C4	ABCtransporter	C-terminaltandemrepeateddomainintype4procollagen
AT_hook--C8	1	3.1675641431739e-05	AT_hook	C8	AThookmotif	C8domain
AAA_5--CAC1F_C	1	3.1675641431739e-05	AAA_5	CAC1F_C	AAAdomain(dynein-relatedsubfamily)	Voltage-gatedcalciumchannelsubunitalpha,C-term
AAA_6--CAC1F_C	1	3.1675641431739e-05	AAA_6	CAC1F_C	HydrolyticATPbindingsiteofdyneinmotorregion	Voltage-gatedcalciumchannelsubunitalpha,C-term
AAA_7--CAC1F_C	1	3.1675641431739e-05	AAA_7	CAC1F_C	P-loopcontainingdyneinmotorregion	Voltage-gatedcalciumchannelsubunitalpha,C-term
AAA_8--CAC1F_C	1	3.1675641431739e-05	AAA_8	CAC1F_C	P-loopcontainingdyneinmotorregionD4	Voltage-gatedcalciumchannelsubunitalpha,C-term
C2--CALCOCO1	1	3.1675641431739e-05	C2	CALCOCO1	C2domain	Calciumbindingandcoiled-coildomain(CALCOCO1)like
Adaptin_N--CAML	1	3.1675641431739e-05	Adaptin_N	CAML	AdaptinNterminalregion	Calciumsignal-modulatingcyclophilinligand
BET--CAMSAP_CH	1	3.1675641431739e-05	BET	CAMSAP_CH	Bromodomainextra-terminal-transcriptionregulation	CAMSAPCHdomain
Bromodomain--CAMSAP_CH	1	3.1675641431739e-05	Bromodomain	CAMSAP_CH	Bromodomain	CAMSAPCHdomain
Bromo_TP--CAP	1	3.1675641431739e-05	Bromo_TP	CAP	Bromodomainassociated	Cysteine-richsecretoryproteinfamily
ACPS--CARD	1	3.1675641431739e-05	ACPS	CARD	4'-phosphopantetheinyltransferasesuperfamily	Caspaserecruitmentdomain
7tm_1--CARD_2	1	3.1675641431739e-05	7tm_1	CARD_2	7transmembranereceptor(rhodopsinfamily)	Caspaserecruitmentdomain
BAG--CARD_2	1	3.1675641431739e-05	BAG	CARD_2	BAGdomain	Caspaserecruitmentdomain
Carboxyl_trans--CART	1	3.1675641431739e-05	Carboxyl_trans	CART	Carboxyltransferasedomain	Cocaineandamphetamineregulatedtranscriptprotein(CART)
Ank_2--CBAH	2	6.3351282863478e-05	Ank_2	CBAH	Ankyrinrepeats(3copies)	LinearamideC-Nhydrolases,choloylglycinehydrolasefamily
Ank_3--CBAH	2	6.3351282863478e-05	Ank_3	CBAH	Ankyrinrepeat	LinearamideC-Nhydrolases,choloylglycinehydrolasefamily
Bromodomain--CBFNT	1	3.1675641431739e-05	Bromodomain	CBFNT	Bromodomain	CBFNT(NUC161)domain
Bromodomain--CBF_beta	1	3.1675641431739e-05	Bromodomain	CBF_beta	Bromodomain	Corebindingfactorbetasubunit
C2--CCDC-167	1	3.1675641431739e-05	C2	CCDC-167	C2domain	Coiled-coildomain-containingprotein167
BAR--CCDC144C	1	3.1675641431739e-05	BAR	CCDC144C	BARdomain	CCDC144Cproteincoiled-coilregion
ATG2_CAD--CD20	1	3.1675641431739e-05	ATG2_CAD	CD20	Autophagy-relatedprotein2CADmotif	CD20-likefamily
ATG_C--CD20	1	3.1675641431739e-05	ATG_C	CD20	Autophagy-relatedproteinCterminaldomain	CD20-likefamily
Atg14--CD20	1	3.1675641431739e-05	Atg14	CD20	Vacuolarsorting38andautophagy-relatedsubunit14	CD20-likefamily
Ank_2--CD24	1	3.1675641431739e-05	Ank_2	CD24	Ankyrinrepeats(3copies)	CD24protein
AAA--CD34_antigen	1	3.1675641431739e-05	AAA	CD34_antigen	ATPasefamilyassociatedwithvariouscellularactivities(AAA)	CD34/Podocalyxinfamily
Abhydrolase_6--CDC27	1	3.1675641431739e-05	Abhydrolase_6	CDC27	Alpha/betahydrolasefamily	DNApolymerasesubunitCdc27
AAA_12--CDP-OH_P_transf	2	6.3351282863478e-05	AAA_12	CDP-OH_P_transf	AAAdomain	CDP-alcoholphosphatidyltransferase
AAA_30--CDP-OH_P_transf	2	6.3351282863478e-05	AAA_30	CDP-OH_P_transf	AAAdomain	CDP-alcoholphosphatidyltransferase
2OG-FeII_Oxy_3--CENP-F_N	1	3.1675641431739e-05	2OG-FeII_Oxy_3	CENP-F_N	2OG-Fe(II)oxygenasesuperfamily	Cenp-FN-terminaldomain
BAT2_N--CENP-L	1	3.1675641431739e-05	BAT2_N	CENP-L	BAT2N-terminus	KinetochorecomplexSim4subunitFta1
6PGD--CENP-S	1	3.1675641431739e-05	6PGD	CENP-S	6-phosphogluconatedehydrogenase,C-terminaldomain	CENP-Sprotein
AAA_33--CH	1	3.1675641431739e-05	AAA_33	CH	AAAdomain	Calponinhomology(CH)domain
ACBP--CH	2	6.3351282863478e-05	ACBP	CH	AcylCoAbindingprotein	Calponinhomology(CH)domain
ATG_C--CH	1	3.1675641431739e-05	ATG_C	CH	Autophagy-relatedproteinCterminaldomain	Calponinhomology(CH)domain
AT_hook--CH	1	3.1675641431739e-05	AT_hook	CH	AThookmotif	Calponinhomology(CH)domain
Abhydrolase_1--CH	1	3.1675641431739e-05	Abhydrolase_1	CH	alpha/betahydrolasefold	Calponinhomology(CH)domain
Actin--CH	2	6.3351282863478e-05	Actin	CH	Actin	Calponinhomology(CH)domain
Ank_2--CH	1	3.1675641431739e-05	Ank_2	CH	Ankyrinrepeats(3copies)	Calponinhomology(CH)domain
Arm--CH	2	6.3351282863478e-05	Arm	CH	Armadillo/beta-catenin-likerepeat	Calponinhomology(CH)domain
BPS--CH	1	3.1675641431739e-05	BPS	CH	BPS(BetweenPHandSH2)	Calponinhomology(CH)domain
CABIT--CH	1	3.1675641431739e-05	CABIT	CH	Cell-cyclesustaining,positiveselection,	Calponinhomology(CH)domain
CAC1F_C--CH	1	3.1675641431739e-05	CAC1F_C	CH	Voltage-gatedcalciumchannelsubunitalpha,C-term	Calponinhomology(CH)domain
Ca_chan_IQ--CH	1	3.1675641431739e-05	Ca_chan_IQ	CH	VoltagegatedcalciumchannelIQdomain	Calponinhomology(CH)domain
Cadherin--CH	2	6.3351282863478e-05	Cadherin	CH	Cadherindomain	Calponinhomology(CH)domain
Cadherin_C--CH	2	6.3351282863478e-05	Cadherin_C	CH	Cadherincytoplasmicregion	Calponinhomology(CH)domain
Carb_anhydrase--CH	1	3.1675641431739e-05	Carb_anhydrase	CH	Eukaryotic-typecarbonicanhydrase	Calponinhomology(CH)domain
Cation_ATPase--CH	1	3.1675641431739e-05	Cation_ATPase	CH	CationtransportATPase(P-type)	Calponinhomology(CH)domain
Asp--CHD5	1	3.1675641431739e-05	Asp	CHD5	Eukaryoticaspartylprotease	CHD5-likeprotein
