Name,SK,Group,Family,Subfamily,Pseudogene?,Header,Entrez_GeneID,RefSeq cDNA (Jan 07),Refseq mRNA,gi_mRNA,Refseq protein,gi_protein,Old_Name,Entrez_Symbol,Entrez_Synonyms,Entrez_dbXrefs,Entrez_Chromosome,Entrez_map_location,Entrez_symbol_from_nomenclature_authority
GPRK5,SK157,AGC,GRK,GRK,N,AGC_GRK_GRK_SK157_GPRK5,2869,NM_005308,NM_005308.2,51896033,NP_005299.1,4885349,GPRK5,GRK5,GPRK5,HGNC:4544|MIM:600870|HPRD:02926,10,10q24-qter,GRK5
GPRK6,SK158,AGC,GRK,GRK,N,AGC_GRK_GRK_SK158_GPRK6,2870,NM_001004106,NM_001004106.1,51896038,NP_001004106.1,51896039,GPRK6,GRK6,FLJ32135|GPRK6,HGNC:4545|MIM:600869|HPRD:02925,5,5q35,GRK6
RHOK,SK327,AGC,GRK,GRK,N,AGC_GRK_GRK_SK327_RHOK,6011,NM_002929,NM_002929.2,51873041,NP_002920.1,4506529,RHOK,GRK1,GPRK1|RHOK|RK,HGNC:10013|MIM:180381|HPRD:01585,13,13q34,GRK1
GPRK7,SK578,AGC,GRK,GRK,N,AGC_GRK_GRK_SK578_GPRK7,131890,NM_139209,NM_139209.2,51896040,NP_631948.1,21166359,GPRK7,GRK7,GPRK7,HGNC:17031|MIM:606987|HPRD:07378,3,3q21-q23,GRK7
MAST1,SK345,AGC,MAST,MAST,N,AGC_MAST__SK345_MAST1,22983,NM_014975,NM_014975.1,45120118,NP_055790.1,45120119,MAST1,MAST1,KIAA0973|SAST|SAST170,HGNC:19034|HPRD:17469,19,19p13.2,MAST1
MAST3,SK196,AGC,MAST,MAST,N,AGC_MAST__SK196_MAST3,23031,XM_038150,XM_038150.6,113428148,XP_038150.5,89052450,MAST3,MAST3,KIAA0561,HGNC:19036,19,19p13.11,MAST3
MAST2,SK216,AGC,MAST,MAST,N,AGC_MAST__SK216_MAST2,23139,NM_015112,NM_015112.2,112363079,NP_055927.2,112363080,MAST2,MAST2,FLJ39200|KIAA0807|MAST205|MTSSK|RP4-533D7.1,HGNC:19035|HPRD:11294,1,1p34.1,MAST2
MAST4,SK701,AGC,MAST,MAST,N,AGC_MAST__SK701_MAST4,375449,NM_198828,NM_198828.1,38488766,NP_942123.1,38488767,MAST4,LOC375449,-,HPRD:14195,5,5q12.3,-
MASTL,SK455,AGC,MAST,MASTL,N,AGC_MAST__SK455_MASTL,84930,NM_032844,NM_032844.1,14249561,NP_116233.1,14249562,MASTL,MASTL,FLJ14813|RP11-85G18.2|THC2,HGNC:19042|MIM:608221|HPRD:10499,10,10p12.1,MASTL
LATS1,SK441,AGC,NDR,,N,AGC_NDR__SK441_LATS1,9113,NM_004690,NM_004690.2,10862687,NP_004681.1,4758666,LATS1,LATS1,WARTS|wts,HGNC:6514|MIM:603473|HPRD:09147,6,6q24-q25.1,LATS1
NDR1,SK249,AGC,NDR,,N,AGC_NDR__SK249_NDR1,11329,NM_007271,NM_007271.2,31377778,NP_009202.1,6005814,NDR1,STK38,NDR|NDR1,HGNC:17847|MIM:606964|HPRD:09511,6,6p21,STK38
NDR2,SK500,AGC,NDR,,N,AGC_NDR__SK500_NDR2,23012,NM_015000,NM_015000.1,24307970,NP_055815.1,24307971,NDR2,STK38L,KIAA0965|NDR2,HGNC:17848|HPRD:10256,12,12p11.23,STK38L
LATS2,SK442,AGC,NDR,,N,AGC_NDR__SK442_LATS2,26524,NM_014572,NM_014572.1,18959199,NP_055387.1,18959200,LATS2,LATS2,FLJ13161,HGNC:6515|MIM:604861|HPRD:07277,13,13q11-q12,LATS2
PDK1,SK276,AGC,PDK1,,N,AGC_PDK1__SK276_PDK1,5170,NM_002613,NM_002613.3,60498971,NP_002604.1,4505695,PDK1,PDPK1,MGC20087|MGC35290|PDK1|PRO0461|PkB-like|PkB-like 1,HGNC:8816|MIM:605213|HPRD:05556,16,16p13.3,PDPK1
PKACa,SK300,AGC,PKA,,N,AGC_PKA__SK300_PKACa,5566,NM_002730,NM_002730.3,46909581,NP_002721.1,4506055,PKACa,PRKACA,MGC102831|MGC48865|PKACA,HGNC:9380|MIM:601639|HPRD:03382,19,19p13.1,PRKACA
PKACb,SK301,AGC,PKA,,N,AGC_PKA__SK301_PKACb,5567,NM_002731,NM_002731.2,46909588,NP_002722.1,4506057,PKACb,PRKACB,DKFZp781I2452|MGC41879|MGC9320|PKACB,HGNC:9381|MIM:176892|HPRD:01482,1,1p36.1,PRKACB
PKACg,SK302,AGC,PKA,,N,AGC_PKA__SK302_PKACg,5568,NM_002732,NM_002732.2,15619014,NP_002723.2,15619015,PKACg,PRKACG,KAPG,HGNC:9382|MIM:176893|HPRD:01483,9,9q13,PRKACG
PRKX,SK313,AGC,PKA,,N,AGC_PKA__SK313_PRKX,5613,NM_005044,NM_005044.1,4826947,NP_005035.1,4826948,PRKX,PRKX,PKX1,HGNC:9441|MIM:300083|HPRD:02097,X,Xp22.3,PRKX
PRKY,SK320,AGC,PKA,,N,AGC_PKA__SK320_PRKY,5616,NM_002760,NM_002760.3,89276754,NP_002751.1,10835065,PRKY,PRKY,-,HGNC:9444|MIM:400008|HPRD:08949,Y,Yp11.2,PRKY
PKCa,SK303,AGC,PKC,Alpha,N,AGC_PKC_Alpha_SK303_PKCa,5578,NM_002737,NM_002737.2,47157319,NP_002728.1,4506067,PKCa,PRKCA,AAG6|MGC129900|MGC129901|PKC-alpha|PKCA|PRKACA,HGNC:9393|MIM:176960|HPRD:01498,17,17q22-q23.2,PRKCA
PKCb,SK304,AGC,PKC,Alpha,N,AGC_PKC_Alpha_SK304_PKCb,5579,NM_002738,NM_002738.5,47157320,NP_002729.2,20127450,PKCb,PRKCB1,MGC41878|PKC-beta|PKCB|PRKCB|PRKCB2,HGNC:9395|MIM:176970|HPRD:01499,16,16p11.2,PRKCB1
PKCg,SK307,AGC,PKC,Alpha,N,AGC_PKC_Alpha_SK307_PKCg,5582,NM_002739,NM_002739.3,47132626,NP_002730.1,13384594,PKCg,PRKCG,MGC57564|PKC-gamma|PKCC|PKCG|SCA14,HGNC:9402|MIM:176980|HPRD:01502,19,19q13.4,PRKCG
PKCd,SK305,AGC,PKC,Delta,N,AGC_PKC_Delta_SK305_PKCd,5580,NM_212539,NM_212539.1,47157324,NP_997704.1,47157325,PKCd,PRKCD,MAY1|MGC49908|nPKC-delta,HGNC:9399|MIM:176977|HPRD:01501,3,3p21.31,PRKCD
PKCt,SK310,AGC,PKC,Delta,N,AGC_PKC_Delta_SK310_PKCt,5588,NM_006257,NM_006257.2,48255887,NP_006248.1,5453976,PKCt,PRKCQ,MGC126514|MGC141919|PRKCT|nPKC-theta,HGNC:9410|MIM:600448|HPRD:02710,10,10p15,PRKCQ
PKCe,SK306,AGC,PKC,Eta,N,AGC_PKC_Eta_SK306_PKCe,5581,NM_005400,NM_005400.2,47157326,NP_005391.1,4885563,PKCe,PRKCE,MGC125656|MGC125657|PKCE|nPKC-epsilon,HGNC:9401|MIM:176975|HPRD:01500,2,2p21,PRKCE
PKCh,SK270,AGC,PKC,Eta,N,AGC_PKC_Eta_SK270_PKCh,5583,NM_006255,NM_006255.3,47717140,NP_006246.2,28557781,PKCh,PRKCH,MGC26269|MGC5363|PKC-L|PKCL|PRKCL|nPKC-eta,HGNC:9403|MIM:605437|HPRD:05669,14,14q22-q23,PRKCH
PKCi,SK308,AGC,PKC,Iota,N,AGC_PKC_Iota_SK308_PKCi,5584,NM_002740,NM_002740.4,48255884,NP_002731.3,48255885,PKCi,PRKCI,DXS1179E|MGC26534|PKCI|nPKC-iota,HGNC:9404|MIM:600539|HPRD:02105,3,3q26.3,PRKCI
PKCz,SK311,AGC,PKC,Iota,N,AGC_PKC_Iota_SK311_PKCz,5590,NM_002744,NM_002744.4,75709224,NP_002735.3,52486327,PKCz,PRKCZ,PKC2,HGNC:9412|MIM:176982|HPRD:01504,1,1p36.33-p36.2,PRKCZ
PKG1,SK073,AGC,PKG,,N,AGC_PKG__SK073_PKG1,5592,NM_006258,NM_006258.1,10835241,NP_006249.1,10835242,PKG1,PRKG1,CGKI|FLJ36117|MGC71944|PGK|PRKG1B|PRKGR1B|cGKI-BETA|cGKI-alpha,HGNC:9414|MIM:176894|HPRD:08910,10,10q11.2,PRKG1
PKG2,SK075,AGC,PKG,,N,AGC_PKG__SK075_PKG2,5593,NM_006259,NM_006259.1,5453977,NP_006250.1,5453978,PKG2,PRKG2,PRKGR2|cGKII,HGNC:9416|MIM:601591|HPRD:09034,4,4q13.1-q21.1,PRKG2
PKN1,SK317,AGC,PKN,,N,AGC_PKN__SK317_PKN1,5585,NM_002741,NM_002741.3,47132588,NP_002732.3,47132589,PKN1,PKN1,DBK|MGC46204|PAK1|PKN|PRK1|PRKCL1,HGNC:9405|MIM:601032|HPRD:03019,19,19p13.1-p12,PKN1
PKN2,SK318,AGC,PKN,,N,AGC_PKN__SK318_PKN2,5586,NM_006256,NM_006256.2,106507281,NP_006247.1,5453974,PKN2,PKN2,MGC150606|MGC71074|PAK2|PRK2|PRKCL2|PRO2042|Pak-2,HGNC:9406|MIM:602549|HPRD:03972,1,1p22.2,PKN2
PKN3,SK511,AGC,PKN,,N,AGC_PKN__SK511_PKN3,29941,NM_013355,NM_013355.3,42516554,NP_037487.2,40254851,PKN3,PKN3,RP11-545E17.1,HGNC:17999|MIM:610714|HPRD:17856,9,9q34.11,PKN3
MSK2,SK243,AGC,RSK,MSK,N,AGC_RSK_MSK_SK243_MSK2,8986,NM_003942,NM_003942.2,56243503,NP_003933.1,4506735,MSK2,RPS6KA4,MSK2|RSK-B,HGNC:10433|MIM:603606|HPRD:04677,11,11q11-q13,RPS6KA4
MSK1,SK242,AGC,RSK,MSK,N,AGC_RSK_MSK_SK242_MSK1,9252,NM_004755,NM_004755.2,32528294,NP_004746.2,32528295,MSK1,RPS6KA5,MGC1911|MSK1|MSPK1|RLPK,HGNC:10434|MIM:603607|HPRD:06789,14,14q31-q32.1,RPS6KA5
p70S6K,SK265,AGC,RSK,p70,N,AGC_RSK_p70_SK265_p70S6K,6198,NM_003161,NM_003161.2,55925648,NP_003152.1,4506737,p70S6K,RPS6KB1,PS6K|S6K|S6K1|STK14A|p70(S6K)-alpha|p70-S6K|p70-alpha,HGNC:10436|MIM:608938|HPRD:10202,17,17q23.1,RPS6KB1
p70S6Kb,SK266,AGC,RSK,p70,N,AGC_RSK_p70_SK266_p70S6Kb,6199,NM_003952,NM_003952.2,55953116,NP_003943.2,55953117,p70S6Kb,RPS6KB2,KLS|P70-beta|P70-beta-1|P70-beta-2|S6K-beta2|S6K2|SRK|STK14B|p70(S6K)-beta|p70S6Kb,HGNC:10437|MIM:608939|HPRD:10203,11,11q13.1,RPS6KB2
RSK3,SK338,AGC,RSK,RSK,N,AGC_RSK_RSK_SK338_RSK3,6195,NM_002953,NM_002953.3,56243479,NP_002944.2,20149547,RSK3,RPS6KA1,HU-1|MAPKAPK1A|RSK|RSK1|S6K-alpha 1,HGNC:10430|MIM:601684|HPRD:03402,1,1p,RPS6KA1
RSK1,SK336,AGC,RSK,RSK,N,AGC_RSK_RSK_SK336_RSK1,6196,NM_021135,NM_021135.4,56243487,NP_066958.2,19923570,RSK1,RPS6KA2,HU-2|MAPKAPK1C|RSK|RSK3|S6K-alpha|S6K-alpha2|p90-RSK3|pp90RSK3,HGNC:10431|MIM:601685|HPRD:03403,6,6q27,RPS6KA2
RSK2,SK337,AGC,RSK,RSK,N,AGC_RSK_RSK_SK337_RSK2,6197,NM_004586,NM_004586.2,56243494,NP_004577.1,4759050,RSK2,RPS6KA3,CLS|HU-3|ISPK-1|MAPKAPK1B|MRX19|RSK|RSK2|S6K-alpha3|p90-RSK2|pp90RSK2,HGNC:10432|MIM:300075|HPRD:02092,X,Xp22.2-p22.1,RPS6KA3
RSK4,SK518,AGC,RSK,RSK,N,AGC_RSK_RSK_SK518_RSK4,27330,NM_014496,NM_014496.1,7657525,NP_055311.1,7657526,RSK4,RPS6KA6,RSK4,HGNC:10435|MIM:300303|HPRD:02250,X,Xq21,RPS6KA6
RSKL1,SK517,AGC,RSKL,,N,AGC_RSKL__SK517_RSKL1,26750,NM_012424,NM_012424.2,19923722,NP_036556.2,19923723,RSKL1,RPS6KC1,RPK118|humS6PKh1,HGNC:10439|HPRD:10204,1,1q41,RPS6KC1
RSKL2,SK473,AGC,RSKL,,N,AGC_RSKL__SK473_RSKL2,83694,NM_031464,NM_031464.3,93277120,NP_113652.1,13899309,RSKL2,RPS6KL1,FLJ35734|MGC11287,HGNC:20222|HPRD:18004,14,14q24.3,RPS6KL1
SgK494,SK491,AGC,RSKR,,N,AGC_RSKR__SK491_SgK494,124923,NM_144610,NM_144610.1,21389410,NP_653211.1,21389411,SgK494,FLJ25006,-,HPRD:08680,17,17q11.2,-
SGK1,SK346,AGC,SGK,,N,AGC_SGK__SK346_SGK,6446,NM_005627,NM_005627.2,25168262,NP_005618.2,25168263,SGK,SGK,SGK1,HGNC:10810|MIM:602958|HPRD:04264,6,6q23,SGK
SGK2,SK523,AGC,SGK,,N,AGC_SGK__SK523_SGK2,10110,NM_170693,NM_170693.1,25168260,NP_733794.1,25168261,SGK2,SGK2,H-SGK2|dJ138B7.2,HGNC:13900|MIM:607589|HPRD:06348,20,20q13.2,SGK2
SGK3,SK525,AGC,SGK,,N,AGC_SGK__SK525_SGK3,23678,NM_001033578,NM_001033578.1,75813625,NP_001028750.1,75813626,SGK3,SGK3,CISK|DKFZp781N0293|SGK2|SGKL,HGNC:10812|MIM:607591|HPRD:06349,8,8q12.3-8q13.1,SGK3
YANK2,SK481,AGC,YANK,,N,AGC_YANK__SK481_YANK2,55351,NM_018401,NM_018401.1,8923753,NP_060871.1,8923754,YANK2,STK32B,HSA250839|STK32|STKG6|YANK2,HGNC:14217|HPRD:15446,4,4p16.2-p16.1,STK32B
YANK1,SK624,AGC,YANK,,N,AGC_YANK__SK624_YANK1,202374,NM_145001,NM_145001.1,21450708,NP_659438.1,21450709,YANK1,STK32A,MGC22688|YANK1,HGNC:28317|HPRD:15445,5,5q32,STK32A
YANK3,SK469,AGC,YANK,,N,AGC_YANK__SK469_YANK3,282974,NM_173575,NM_173575.2,32455268,NP_775846.2,32455269,YANK3,STK32C,MGC23665|PKE|RP11-140A10.1|YANK3,HGNC:21332|HPRD:18119,10,10q26.3,STK32C
ADCK3,SK609,Atypical,ABC1,ABC1-A,N,Atypical_ABC1_ABC1-A_SK609_ADCK3,56997,NM_020247,NM_020247.4,104486445,NP_064632.2,34147522,ADCK3,CABC1,ADCK3|COQ8|MGC4849,HGNC:16812|MIM:606980|HPRD:07375,1,1q42.13,CABC1
ADCK4,SK013,Atypical,ABC1,ABC1-A,N,Atypical_ABC1_ABC1-A_SK013_ADCK4,79934,NM_024876,NM_024876.2,21361994,NP_079152.3,27363457,ADCK4,ADCK4,COQ8|FLJ12229,HGNC:19041|HPRD:10632,19,19q13.2,ADCK4
ADCK1,SK401,Atypical,ABC1,ABC1-B,N,Atypical_ABC1_ABC1-B_SK401_ADCK1,57143,NM_020421,NM_020421.2,40254937,NP_065154.2,40254938,ADCK1,ADCK1,FLJ39600,HGNC:19038|HPRD:10630,14,14q24.3,ADCK1
ADCK5,SK780,Atypical,ABC1,ABC1-B,N,Atypical_ABC1_ABC1-B_SK780_ADCK5,203054,NM_174922,NM_174922.3,41393592,NP_777582.3,41393593,ADCK5,ADCK5,FLJ35454|MGC126708,HGNC:21738|HPRD:12427,8,8q24.3,ADCK5
ADCK2,SK712,Atypical,ABC1,ABC1-C,N,Atypical_ABC1_ABC1-C_SK712_ADCK2,90956,NM_052853,NM_052853.3,41393591,NP_443085.2,32261307,ADCK2,ADCK2,AARF|MGC20727,HGNC:19039|HPRD:10631,7,7q32-q34,ADCK2
AlphaK1,SK765,Atypical,Alpha,Alpha-Unclassified,N,Atypical_Alpha__SK765_AlphaK1,57538,NM_020778,NM_020778.3,115511035,NP_065829.3,115511036,AlphaK1,ALPK3,FLJ21176|KIAA1330|MAK|MIDORI,HGNC:17574|HPRD:11365,15,15q25.2,ALPK3
AlphaK3,SK755,Atypical,Alpha,Alpha-Unclassified,N,Atypical_Alpha__SK755_AlphaK3,80216,NM_025144,NM_025144.2,21361968,NP_079420.2,21361969,AlphaK3,ALPK1,8430410J10Rik|FLJ22670|KIAA1527|LAK,HGNC:20917|MIM:607347|HPRD:09554,4,4q25,ALPK1
AlphaK2,SK754,Atypical,Alpha,Alpha-Unclassified,N,Atypical_Alpha__SK754_AlphaK2,115701,NM_052947,NM_052947.2,46371196,NP_443179.2,46371197,AlphaK2,ALPK2,FLJ34875|FLJ43253|HAK,HGNC:20565|HPRD:11019,18,18q21.31,ALPK2
ChaK1,SK423,Atypical,Alpha,ChaK,N,Atypical_Alpha_ChaK_SK423_ChaK1,54822,NM_017672,NM_017672.2,29893551,NP_060142.2,29893552,ChaK1,TRPM7,CHAK|CHAK1|FLJ20117|FLJ25718|LTRPC7|TRP-PLIK,HGNC:17994|MIM:605692|HPRD:10418,15,15q21,TRPM7
ChaK2,SK746,Atypical,Alpha,ChaK,N,Atypical_Alpha_ChaK_SK746_ChaK2,140803,NM_017662,NM_017662.3,18921092,NP_060132.3,18921093,ChaK2,TRPM6,CHAK2|HMGX|HOMG|HSH,HGNC:17995|MIM:607009|HPRD:06112,9,9q21.13,TRPM6
eEF2K,SK117,Atypical,Alpha,eEF2K,N,Atypical_Alpha_eEF2K_SK117_eEF2K,29904,NM_013302,NM_013302.3,89903005,NP_037434.1,9558749,eEF2K,EEF2K,HSU93850|MGC45041|eEF-2K,HGNC:24615|MIM:606968|HPRD:07369,16,16p12.1,EEF2K
BCR,SK047,Atypical,BCR,,N,Atypical_BCR__SK047_BCR,613,NM_004327,NM_004327.3,82546842,NP_004318.3,82546843,BCR,BCR,ALL|BCR/FGFR1|BCR1|CML|D22S11|D22S662|FGFR1/BCR|FLJ16453|PHL,HGNC:1014|MIM:151410|HPRD:01044,22,22q11|22q11.23,BCR
BRDT,SK764,Atypical,BRD,,N,Atypical_BRD__SK764_BRDT,676,NM_001726,NM_001726.2,46399197,NP_001717.2,46399198,BRDT,BRDT,BRD6,HGNC:1105|MIM:602144|HPRD:03684,1,1p22.1,BRDT
BRD2,SK761,Atypical,BRD,,N,Atypical_BRD__SK761_BRD2,6046,NM_005104,NM_005104.2,12408641,NP_005095.1,4826806,BRD2,BRD2,D6S113E|DKFZp686N0336|FLJ31942|FSRG1|KIAA9001|NAT|RING3|RNF3,HGNC:1103|MIM:601540|HPRD:03326,6,6p21.3,BRD2
BRD3,SK762,Atypical,BRD,,N,Atypical_BRD__SK762_BRD3,8019,NM_007371,NM_007371.2,12408642,NP_031397.1,11067749,BRD3,BRD3,KIAA0043|ORFX|RING3L,HGNC:1104|MIM:601541|HPRD:03327,9,9q34,BRD3
BRD4,SK763,Atypical,BRD,,N,Atypical_BRD__SK763_BRD4,23476,NM_014299,NM_014299.2,112789560,NP_055114.1,7657218,BRD4,BRD4,CAP|HUNKI|MCAP,HGNC:13575|MIM:608749|HPRD:10574,19,19p13.1,BRD4
FASTK,SK139,Atypical,FAST,,N,Atypical_FAST__SK139_FASTK,10922,NM_006712,NM_006712.3,39995105,NP_006703.1,5729822,FASTK,FASTK,FAST,HGNC:24676|MIM:606965|HPRD:07368,7,7q35,FASTK
G11,SK756,Atypical,G11,,N,Atypical_G11__SK756_G11,8859,NM_032454,NM_032454.1,14602430,NP_115830.1,14602431,G11,STK19,D6S60|D6S60E|G11|HLA-RP1|MGC117388|RP1,HGNC:11398|MIM:604977|HPRD:07281,6,6p21.3,STK19
H11,SK782,Atypical,H11,,N,Atypical_H11__SK782_H11,26353,NM_014365,NM_014365.2,38016940,NP_055180.1,7657146,H11,HSPB8,CMT2L|DHMN2|E2IG1|H11|HMN2|HSP22,HGNC:30171|MIM:608014|HPRD:06420,12,12q24.23,HSPB8
BCKDK,SK046,Atypical,PDHK,BCKDK,N,Atypical_PDHK__SK046_BCKDK,10295,NM_005881,NM_005881.1,5031608,NP_005872.1,5031609,BCKDK,BCKDK,-,HGNC:16902|HPRD:12523,16,16p11.2,BCKDK
PDHK1,SK277,Atypical,PDHK,PDHK,N,Atypical_PDHK__SK277_PDHK1,5163,NM_002610,NM_002610.3,37595546,NP_002601.1,4505689,PDHK1,PDK1,-,HGNC:8809|MIM:602524|HPRD:03954,2,2q31.1,PDK1
PDHK2,SK278,Atypical,PDHK,PDHK,N,Atypical_PDHK__SK278_PDHK2,5164,NM_002611,NM_002611.3,31543388,NP_002602.2,19923736,PDHK2,PDK2,-,HGNC:8810|MIM:602525|HPRD:03955,17,17q21.33,PDK2
PDHK3,SK279,Atypical,PDHK,PDHK,N,Atypical_PDHK__SK279_PDHK3,5165,NM_005391,NM_005391.1,4885544,NP_005382.1,4885545,PDHK3,PDK3,-,HGNC:8811|MIM:602526|HPRD:03956,X,Xp22.11,PDK3
PDHK4,SK280,Atypical,PDHK,PDHK,N,Atypical_PDHK__SK280_PDHK4,5166,NM_002612,NM_002612.3,94421466,NP_002603.1,4505693,PDHK4,PDK4,FLJ40832,HGNC:8812|MIM:602527|HPRD:03957,7,7q21.3,PDK4
ATM,SK038,Atypical,PIKK,ATM,N,Atypical_PIKK_ATM_SK038_ATM,472,NM_000051,NM_000051.3,71902539,NP_000042.3,71902540,ATM,ATM,AT1|ATA|ATC|ATD|ATDC|ATE|DKFZp781A0353|MGC74674|TEL1|TELO1,HGNC:795|MIM:607585|HPRD:06347,11,11q22-q23,ATM
ATR,SK039,Atypical,PIKK,ATR,N,Atypical_PIKK_ATR_SK039_ATR,545,NM_001184,NM_001184.2,20143978,NP_001175.1,4502325,ATR,ATR,FRP1|MEC1|SCKL|SCKL1,HGNC:882|MIM:601215|HPRD:08369,3,3q22-q24,ATR
DNAPK,SK113,Atypical,PIKK,DNAPK,N,Atypical_PIKK_DNAPK_SK113_DNAPK,5591,NM_006904,NM_006904.6,31340617,NP_008835.5,13654237,DNAPK,PRKDC,DNAPK|DNPK1|HYRC|HYRC1|XRCC7|p350,HGNC:9413|MIM:600899|HPRD:02941,8,8q11,PRKDC
FRAP,SK152,Atypical,PIKK,FRAP,N,Atypical_PIKK_FRAP_SK152_FRAP,2475,NM_004958,NM_004958.2,19924298,NP_004949.1,4826730,FRAP,FRAP1,FLJ44809|FRAP|FRAP2|MTOR|RAFT1|RAPT1,HGNC:3942|MIM:601231|HPRD:03134,1,1p36.2,FRAP1
SMG1,SK665,Atypical,PIKK,SMG1,N,Atypical_PIKK_SMG1_SK665_SMG1,23049,NM_015092,NM_015092.3,62243657,NP_055907.3,62243658,SMG1,SMG1,61E3.4|ATX|KIAA0421|LIP,MIM:607032|HPRD:06123,16,16p12.3,-
TRRAP,SK380,Atypical,PIKK,TRRAP,N,Atypical_PIKK_TRRAP_SK380_TRRAP,8295,NM_003496,NM_003496.1,4507690,NP_003487.1,4507691,TRRAP,TRRAP,FLJ10671|PAF350/400|PAF400|STAF40|TR-AP|Tra1,HGNC:12347|MIM:603015|HPRD:04310,7,7q21.2-q22.1,TRRAP
RIOK1,SK615,Atypical,RIO,RIO1,N,Atypical_RIO_RIO1_SK615_RIOK1,83732,NM_031480,NM_031480.2,23510355,NP_113668.2,23510356,RIOK1,RIOK1,AD034|FLJ30006|MGC12903|bA288G3.1,HGNC:18656|HPRD:17978,6,6p24.3,RIOK1
