all_gene1	three_prime_partners	num_three_prime_partners	five_prime_TCGA_Projects
LRRC75A-AS1	AC129102.1:ABHD12B:EXD1:UBB:TRPV2:KISS1:HNMT:EIF3E	8	SARC:TGCT:BRCA:OV:PCPG:COAD:LUSC
ZNF318	PDE3A:FOXP4:TCTE1:CD2AP:COL21A1:AL593854.1	6	BRCA:ESCA:STAD:SARC:KIRP
PHKB	PDE3A:SCN8A:PTPRR:LINC02192:LINC02224	5	LUAD:SARC:BRCA:LGG
RAD51AP1	SLCO1C1:ST8SIA1:CD27-AS1:ATN1	4	LUSC:LGG:BRCA
NAP1L1	AC022335.1:SLCO1B1:STK38L:PTPRR:AC138123.3:ELK3:OSTF1	7	LUAD:BRCA:SARC
MARCH9	SLCO1B1:YEATS4:KCNC2:AC027288.3:CD2AP:ASAH1	6	LGG:SARC:BLCA:GBM
ADCY9	SLCO1B1:RASSF8:TEAD4:LINC00592:OS9:SPG20:FAHD1:PRKCB:CLUAP1:SRL:PAM16:VASN:ZNF500:JADE3	14	LGG:SARC:OV:LUSC:UCEC:BRCA:LIHC
BCAT1	SLCO1A2:AC084816.1:CASC1:ITPR2:STK38L:USP15:AKT2:VPS72:HSP90AB1	9	OV:BRCA:LIHC
ZDHHC9	SLCO1A2	1	SKCM
ANO6	IAPP:PKP2:AC068305.3:HNRNPUL1:AC006974.2:RABGEF1:PEBP4:EDA	8	BRCA:OV:ACC:LGG:COAD:SARC
FAM129B	PYROXD1:C16orf62:SNRNP25:KRT16:TIMP3:PTRH1:AL157935.2:C9orf50:OLFM1:SEC16A:IDNK	11	BRCA:SARC:SKCM:HNSC:STAD:OV:ESCA
GOLT1B	PYROXD1	1	BRCA
PHACTR1	GOLT1B	1	OV
FAM222B	GYS2:ALDH6A1:C16orf62:NEK8:FLOT2:PHF12:SEZ6:MYO18A:NUFIP2:CRLF3:RAB5C:STXBP4:TRIM37:USP32:BPTF:PRPSAP1:HAO2:DOPEY2:AC128709.2:AC128709.1:UNC5D:CHD7	22	LUAD:LGG:OV:LIHC:ESCA:BRCA:STAD:UCEC:SKCM:READ:COAD:SARC
RBM10	AC008250.1:CMAS:AL359075.2:ERAS:TFE3	5	LUAD:LUSC:KIRP
NFE2L2	CMAS:ZC3H13:VMP1:GPR37L1:USP33:OLA1:PDE11A:NEMP2:NDUFA10:GAPVD1	10	ESCA:LUSC:STAD:SKCM:OV:LIHC
MRPL11	ST8SIA1	1	BRCA
MYT1	ST8SIA1:TCEA2	2	LGG:LUSC
LDHB	C2CD5:CTNNA2:RARB	3	LUSC:UCEC:UCS
TRAPPC9	C2CD5:AC068633.1:AL356417.2:FAM49B:COL22A1:AGO2:PTK2:TSTA3:PLAT:JPH1:PSKH2	11	LUAD:SARC:PRAD:BRCA:OV:HNSC:BLCA
CCDC92	AC087241.1:MAN1A1	2	OV:SARC
AC084816.1	ETNK1	1	BLCA
SLCO1B1	AC084816.1:LINC00592	2	OV:LGG
DNAJA1	AC084816.1:DLGAP5	2	STAD
MYRFL	AC084816.1:LINC02402:BEST3:AC025575.2	4	LUAD:SARC
SYT10	AC084816.1	1	STAD
MAPRE2	AC084816.1:AC023043.1	2	PRAD:COAD
STK38L	AC084816.1:MED21:CCDC91:PPHLN1:LINC02384	5	BLCA:OV:STAD
FAM210B	AC087258.1	1	PRAD
AC010197.1	SOX5:ANO6	2	LUAD
CRACR2A	SOX5	1	OV
ACP7	SOX5:ACTN4	2	OV:ESCA
CP	SOX5:WWTR1:COMMD2	3	BRCA:STAD
PHTF1	AC069208.1:PTPN22	2	OV:CESC
ALDH18A1	SOX5-AS1	1	PRAD
ZNF724	SOX5-AS1:AC016813.1	2	UCS:LUSC
USP5	AC069208.1	1	GBM
POGZ	SLC6A13:LINC01566:PSMD4:GBA:C1orf21:HHIPL2:POC5	7	HNSC:BLCA:STAD:BRCA:LUAD:SKCM
ST3GAL6	SLC6A13	1	STAD
DIP2B	BCAT1:SPATS2:GPD1:LARP4:AC055736.1:R3HDM2:TBC1D15:AC104590.1:RTTN	9	SKCM:BLCA:LUAD:LUSC:ESCA:SARC:UCEC:LGG
TSPAN11	AC026310.2	1	SKCM
LSR	AC026310.2:CHMP1A:UBA2:GRAMD1A:HPN-AS1:FXYD3:NLRP2	7	OV:STAD:LUSC:CESC:ESCA
ETFRF1	C12orf77	1	STAD
TMTC1	CASC1:AC022509.1:YEATS4:PGD	4	LGG:LUSC:SARC:UCEC
MRPS35	ETFRF1:INTS13:PPFIBP1:FAR2	4	STAD
PRKCZ	KRAS:MTOR-AS1:GABRD:AL050344.1:TP53TG5	5	ESCA:GBM:BRCA:LUSC:LUAD
ASAP1	LMNTD1:VEZT:KCNH1:PFKL:FGF12:LINC01485:ADCY2:RIMS2:SAMD12:MRPL13:AC083923.2:AC090987.1:ADCY8:KCNQ3:TRAPPC9:CLVS1	16	UCEC:LAML:BRCA:OV:ESCA:ACC:BLCA:STAD:LUAD:SARC:PCPG:LUSC
YWHAQ	AC019209.3	1	BRCA
PIP4K2C	CACNA1C:AC084033.3	2	STAD:GBM
AC009411.2	CACNA1C	1	BRCA
ABCC9	RASSF8:DMKN	2	BRCA:OV
GRIN2A	RASSF8:CPPED1:AC009093.2:MTHFD1L	4	LGG:CESC:BRCA:OV:SARC
CNOT1	RASSF8:PHKB:CETP:SLC38A7:GOT2:AC092378.2:PSMB2:PRRX2	8	BRCA:KIRC:OV:STAD:LUSC:LIHC
ABHD17C	BHLHE41:AC022509.1:AC022509.2:SCAPER:HMG20A:AC092164.1	6	STAD:LGG:LUSC
SEL1L3	BHLHE41:CCKAR	2	OV:STAD
SHROOM2	BHLHE41:REPS2	2	LUAD:BLCA
PPP1CB	SSPN:PI4KB:RALY:BABAM2:PLB1	5	OV:UCEC:STAD:LUSC:ACC:BRCA
FGFR1OP2	SSPN:TEC	2	OV:SKCM
SYNPR	SSPN	1	OV
FAM60A	AC022509.1:TM7SF3:CD27:MADCAM1:TPGS1:C1QTNF3-AMACR	6	STAD:LUAD:PRAD
LMNTD1	AC022509.1	1	OV
DDIT3	AC022509.1:GLI1:AC084033.3:LINC02384:FUS	5	LIHC:GBM:LUAD:SARC
CYB5B	SSPN:SNTB2:AC012184.3:COTL1	4	STAD:UCEC:ACC
PKNOX1	SSPN:AF064858.3	2	OV:SARC
FAAH2	SSPN:NBDY	2	BRCA
AC022509.1	ITPR2:SYNPR-AS1	2	OV
RAP1B	ITPR2:CSAD:CTDSP2:AC083805.1:AC090673.1:MDM1:LINC02384:CPM:LINC01481:GLIPR1L1:SNUPN:IGSF8:DPT	13	LUAD:STAD:GBM:SARC:SKCM:BRCA
ATF7IP	ITPR2:TMPRSS2:FAM83B:VIPR2	4	OV:PRAD:SARC:STAD
NECTIN2	AC024145.1:SCN1B:LIPE-AS1:IGSF23:CEACAM19:CEACAM16:BCAM:ZMAT2:CCL21	9	LUAD:STAD:BLCA:UCEC:OV:LIHC
KANSL2	AC024145.1	1	LUAD
TSPAN31	ITPR2:OS9:WIF1	3	SARC
PTGES3	ITPR2:SPATS2:ARIH2:AFF1	4	LGG:ESCA:UCEC:BLCA
SYNE1	CACNA1C:NAV3:LY75-CD302:METTL24:ESR1	5	BRCA:SARC:SKCM:LUAD
SLIT3	ITPR2:TBC1D30:COL4A1:HSD17B4:SDCBP	5	SARC:OV:BRCA:UCS
FUNDC2	ITPR2	1	SARC
FAR2	INTS13:CCDC91:AC022081.1:AC008083.3:NFE2:AGMO	6	STAD:LGG:SARC:BLCA
AC024230.1	TM7SF3:LCORL:SLIT2:NWD2:HTRA3:MSC	6	OV:BRCA:UCS
DNM1L	TM7SF3:TSPAN11:BICD1:FGD4	4	BRCA:COAD:SKCM:UCEC
POLH	C12orf71:TCTE1	2	SARC:OV
NIPBL	ARNTL2:STK24:L3MBTL4:NACC1:CLSPN:MAPRE1:SLC30A9:ANKRD17:ROPN1L:MYO10:BASP1:SPEF2:SKP2:SLC1A3:C5orf42:NUP155:FGF10:AC093297.1:MRPS30	19	READ:LUSC:SARC:CHOL:BRCA:SKCM:LUAD:STAD:BLCA:HNSC:UCS:ESCA
PLEKHM2	LINC02371:LINC00920:TMEM51:ZSWIM5:IGF2BP2	5	KIRP:STAD:GBM:BRCA:ESCA
PUS7L	SMCO2:CPSF6	2	LUAD:ESCA
AC022075.1	PPFIBP1:NTF3	2	LGG:SARC
AC008011.2	PPFIBP1	1	STAD
GATA4	PPFIBP1:TRIB1:LINC00681:ERI1	4	STAD:ESCA
PIK3C2G	PPFIBP1:CTDSP2	2	BRCA:SARC
NAAA	AC009509.1	1	PRAD
PKP2	MRPS35:DDX11:DNM1L:SARNP:MAP3K20	5	PAAD:STAD:BRCA:PRAD:BLCA
P2RY6	MRPS35	1	BLCA
KLHL42	MRPS35	1	BLCA
PLCZ1	PTHLH	1	BRCA
ATP4A	FKBP4	1	ESCA
CDK12	CCDC91:APRT:SMG6:AC025211.1:AC244100.3:CCL18:PLXDC1:CACNB1:RPL19:FBXL20:IKZF3:AKAP1:PPM1E:FAM20A:SPATA31A1:JAK2	16	BRCA:PRAD:OV:BLCA:COAD:LAML:STAD:SKCM
DENND5B	AC022081.1:AC011447.3	2	LUAD:OV
CLYBL	AC022081.1:TMTC4:UBAC2:TM9SF2	4	UCEC:ESCA:BRCA:STAD:OV
MITF	AC022081.1:AC025031.1:AC008035.1:PSMD6:PRICKLE2:FRMD4B:MTERF3	7	TGCT:SKCM:BRCA
CDKAL1	AC022081.1:MSRB3:MTUS2-AS2:HSP90AA1:LIG1:ASH1L:TBC1D1:AC105384.1:AC025244.3:AC096759.1:RBM24:AL022068.1:GMDS:AL158198.1:E2F3:AL513188.1:NBAT1:OR2H1:MICB:C6orf89:DNAH8:OFCC1:SMARCA2:CLCN4	24	BLCA:BRCA:LUSC:OV:STAD:LUAD:SKCM
TMEM52B	RHNO1	1	BRCA
PLAT	RHNO1:C12orf66:EFCAB8:AC083973.1:SLC20A2:PRKDC	6	ESCA:SKCM:HNSC:PRAD:SARC
INTS13	FAR2:AC092078.1	2	STAD:LUAD
RORA-AS1	ERGIC2	1	STAD
ZNF787	OVCH1-AS1:ZNF468:PPP1R12C:ZSCAN5B	4	SARC:STAD:KIRP
ARHGDIB	OVCH1-AS1	1	BRCA
FARP1	OVCH1-AS1:NALCN:LINC00376:UCHL3:IPO5:STK24:SLC15A1:NME1:GALR2	9	OV:LUAD:BRCA:STAD:LGG:SKCM
IPO8	TMTC1:KRT86:CDH13:ZNF295-AS1	4	COAD:PRAD:BRCA:LUSC
SSPN	TEAD4	1	LGG
SLC23A2	TEAD4:PHKB:LINC00658:TMX4:FAM240B	5	OV:LUAD:BLCA:KIRC:PRAD
ADSS	CAPRIN2:SERTAD4:BPNT1	3	SARC:BRCA:SKCM
MIR200CHG	AC024940.1:RASSF3:SERINC2:MX1	4	BLCA:ESCA:HNSC:OV
AL136164.2	AC024940.1:AL359715.2	2	SARC:GBM
CAPRIN2	AMN1:R3HDM2	2	BRCA:SKCM
EPB41L1	BICD1:RBBP8:TGM3:DEFB123:PHF20:CNBD2:NDRG3:GHRH:ATP9A:HTR3C	10	COAD:BLCA:HNSC:OV:STAD:LUSC:BRCA
HUWE1	BICD1:SLITRK4:CLCN5:PHF8:FAM120C	5	BLCA:LGG:OV:BRCA:LUSC
PARP16	BICD1	1	OV
AC005562.1	DNM1L:CPD:ASIC2:CA10	4	BRCA:LUSC:COAD
RAB21	SYT10:SLC4A8:MDM1:FRS2:MGAT4C:CRADD:DNM3	7	ESCA:SARC:BRCA
AC019209.3	AC140847.2	1	LGG
FAM19A2	AC140847.2:PCBP2:IKZF4:AC020637.1:TMBIM4:RAB3IP:KCNMB4:KRR1	8	UCEC:GBM:ACC:LGG:SARC:SKCM:BRCA
ARHGEF25	CPNE8:NTRK1	2	SARC
WDR6	CPNE8:PACS2:LINC00534	3	BLCA:ESCA:BRCA
BAZ2A	AC067735.1:BIN2:ACVR1B:NACA:PRIM1	5	PRAD:LUAD:STAD:BLCA:BRCA
WWOX	AC067735.1:C15orf41:CDH3:AC106729.1:NUDT7:VAT1L	6	SKCM:GBM:ACC:BRCA:OV:BLCA:STAD
TMEM165	AC005842.1:PDGFRA:SRD5A3	3	TGCT:GBM:LUAD
PDE7B	KIF21A:AL357060.3	2	SARC:STAD
CARNMT1	KIF21A	1	SARC
FAIM2	C12orf40	1	SARC
ERCC2	C12orf40:NOVA2	2	LGG:BLCA
GIT2	SLC2A13:SMYD5	2	TGCT:SKCM
KIF21A	SLC2A13:TSPAN8:CCDC114:COPS7B:FGF12	5	PRAD:HNSC:STAD:SARC:OV
CERS5	AC079630.1:LIMA1:TM9SF2:SAMD11:AIFM1	5	SKCM:STAD:OV:BRCA
NELL2	MUC19:ATF7:OS9:MUC21	4	HNSC:BRCA:GBM:SARC
TCERG1L	CNTN1	1	LGG
MDM1	PDZRN4:RBMS2:RAP1B:FRS2:PTPRR:AC027288.3:ABCC1:INSR	8	SARC:BLCA:GBM:BRCA
TOMM40	PDZRN4:PVR:BCAM:NECTIN2	4	BLCA:OV:BRCA
SCYL3	PDZRN4:TSPAN8:KIFAP3:CLPTM1L	4	PRAD:SARC:STAD:SKCM
LRRK2	GXYLT1:AC008014.1	2	LGG:LUAD
RPL30	PPHLN1:STK3	2	SARC:UCS
GXYLT1	PRICKLE1	1	OV
RP2	CCND2-AS1:CCND2-AS2:CHST7	3	SARC:SKCM
SLC9A9	AC012038.1:KCNAB1:PDLIM3	3	HNSC:LUSC:PRAD
CTDSP2	LINC02461:C12orf10:NFE2:LRP1:GLI1:OS9:TSPAN31:AC083805.1:AC084033.3:LINC02388:AC020611.2:HMGA2:MDM2:CPM:FRS2:TSPAN8:LGR5:ZDHHC17:AC074031.1:TMTC2:MGAT4C:AC024909.1:TADA2A:LSM14A:LINC01363:RALB:COMMD10:RTN4IP1:AL080314.2:UTRN:AUH:COL15A1:MAGEB16	33	ESCA:GBM:SARC:LGG:LUAD:STAD
HIP1R	LINC02461:UBL5	2	OV:ESCA
OPA1	TIGAR:PPP2R3A:ATP13A4:ATP13A4-AS1:LINC00969	5	OV:LUSC:HNSC:LUAD:BLCA:SARC
NIT1	TIGAR:C1orf105	2	SARC
HDAC7	IRAK4:VDR:COL2A1:SRGAP1:ACSS3:VSTM2B	6	BRCA:UCEC:STAD:ACC:SARC
C12orf29	IRAK4	1	PRAD
FAM186A	IRAK4	1	SARC
REV3L	TMEM117:FN3KRP:ASCC3:SOBP:LINC00222:RPF2:TRAF3IP2:FYN	8	SARC:LGG:STAD:BRCA:OV:UCEC
DMD	TMEM117:LIX1L:AC103957.2	3	SARC:LUSC
SLC12A7	TMEM117:EGLN3-AS1:TERT:CLPTM1L:RASGEF1C	5	LUAD:KIRC:LIHC:PRAD:LUSC
NDUFA9	C12orf4:DYRK4	2	SARC:BRCA
ANKH	ANO6:STEAP3:DNAH5:MXD3:GINM1:ZFPM2	6	SKCM:SARC:LUAD
CACNA2D3	SCAF11:DAP3:FOXP1	3	MESO:OV:BRCA
SMARCC2	SLC38A1:RNF41:AC073896.1:C1S	4	STAD:UCEC:LIHC
SLC38A1	AC025031.1:AC008014.1:AC008035.1:UNKL:GTSE1	5	OV:CESC:LIHC:UCEC
AC011603.2	AC008035.1:DIP2B	2	STAD:SARC
GPC3	AC008035.1:PPARG	2	SARC:BLCA
PRICKLE1	SLC38A4:AC084033.3:LRIG3:LINC02373:LINC02412:SND1	6	OV:SKCM:SARC:BRCA
CLEC2B	AC008014.1:MYRFL	2	SARC
PPHLN1	AC008083.1:AC078865.1:TIMELESS:AC090023.2:TBC1D15	5	SARC:LUSC:PAAD
TMEM106C	RPAP3	1	ESCA
SLC48A1	AC004241.1:HECA	2	OV
FARP2	AC004241.1:INHA:SEPT2	3	OV:UCEC:LUAD
THAP2	RAPGEF3:GRIP1:YEATS4:PPA2	4	SARC:BRCA:STAD
ECE1	SLC48A1:WNT4:SRSF10:NIPAL3:TRAF3IP2	5	OV:UCEC:LUAD:SKCM
UQCRH	SLC48A1:LURAP1:RAD54L	3	OV
BORCS5	HDAC7:PTPRR:SPAG9:CDR2L	4	PRAD:LUSC:SARC:LIHC
C1orf186	HDAC7:DOHH	2	OV:ESCA
TUSC3	LINC02354:SORBS3:LOXL2:HOOK3	4	SKCM:BRCA:PRAD:UCS
C16orf46	AC121338.1	1	THCA
SLC11A2	PFKM:CSRNP2:POU6F1:CDC27	4	GBM:BRCA:ACC:PRAD
KPNA6	AC090115.1:RAB11FIP4:RHCE:ZCCHC17:TMEM39B:PSMB2:AL139220.2:TRAIP:C6orf48	9	LUSC:READ:HNSC:OV:LGG:ACC:SARC
KCND3	KANSL2:AL390729.1	2	STAD:PRAD
DCTN2	DDX23:TSPAN31:USP15:SRGAP1:NAV3:SYT1:AC010542.3:DENND3	8	LUSC:LGG:BRCA:SARC:PRAD
AP000924.1	DDX23	1	ACC
SENP1	DDX23	1	STAD
DDX23	RND1:AC073610.3:SMAGP	3	LIHC:BRCA:KIRC:LUAD
CCNT1	AC073610.3	1	STAD
TMBIM6	FKBP11	1	SKCM
FKBP11	ARF3:PRKAG1	2	ESCA:STAD
KMT2D	RHEBL1:LIMA1:PTPRR	3	OV:STAD:PAAD
ARF3	LMBR1L:ACTB	2	THCA:ESCA
EEF2	AC011603.3:CD63:SMARCA4:COX6B1:SLC25A23:SPARC	6	HNSC:SARC:PRAD:LGG:STAD
ATF7	SPATS2:ATP5G2:LYZ:GLI3	4	BRCA:COAD:STAD:HNSC:SARC:ESCA
ARID1A	PRPF40B:RNF31:THBS3:PRKCZ:MAN1C1:DHDDS:RPS6KA1:YTHDF2:BEND5:UBE2U:THSD7B:HNRNPK	12	SKCM:GBM:BRCA:LIHC:OV:STAD:BLCA
PRKAG1	FMNL3	1	OV
METTL1	BCDIN3D-AS1:AC025263.1	2	LUAD:SARC
AC074032.1	SMARCD1:GPD1:FBN1	3	OV:GBM:SARC
OSBPL9	CERS5:TMEM220-AS1:AGBL4:AC104170.1:AL035416.1:C1orf87:SERINC5:FKBP5	8	BLCA:PRAD:BRCA:LUAD:SARC
ZCRB1	LIMA1	1	SKCM
OSBPL8	FAM186A:CTDSP2:CPM:RAB3IP:CNOT2:LINC02407:ZDHHC17:CSRP2:PTPRQ:ACSS3:DCN:TSHZ2	12	SARC:BRCA:LUSC:LUAD
MYO10	FAM186A:PFDN2:ST6GALNAC3:LINC00316:IGLV7-43:DNAH5:AC026790.1:C5orf38:NPR3:LINC02196	10	SKCM:BLCA:LUAD:SARC:BRCA
RYR3	LARP4:BUB1B	2	BRCA:LGG
UBAP1	LARP4:PLA2G2A:ADAMTSL1:NFX1:UBE2R2:UBAP2:UNC13B	7	STAD:LGG:UCEC:BRCA:LUSC
ATF1	DIP2B:GRIP1:AC127894.1	3	STAD:LUAD:BLCA
TFEB	DIP2B:EPS15L1:LINC01965:LINC01886:CADM2:MTCH1:PGC:SUPT3H:COL21A1:CAPZA2	10	GBM:STAD:BRCA:KIRP:OV:LUAD
DAZAP2	ATF1	1	OV
SCN8A	ATF1:LINC02381:ANO2:SRGAP1	4	LGG:SARC:BRCA
HAUS2	TMPRSS12	1	SARC
AC025165.3	METTL7A:INHBE:GLI1:PIP4K2C:RASSF3:HMGA2:CAND1:IFNG-AS1:RAP1B:CPM:LYZ:PTPRR:LINC02444:AC073571.1:AC024909.1:LTA4H	16	SARC:GBM:LGG:SKCM:LUSC
ATP23	HIGD1C	1	LGG
LAMA2	SLC11A2:NUP107:GRIK2:C6orf58:UQCRB	5	SARC:KICH
NTN4	LETMD1:RAP1B:NUP107:TRHDE:LINC02426:AC090001.1:KIFAP3	7	SARC:STAD
ATG101	CSRNP2	1	SKCM
AC104002.3	SCN8A	1	PRAD
AC068987.3	SCN8A	1	BRCA
ACVR1B	AC068987.3:AC068987.1:ANKRD33:PCBP2:AC073896.1:LINC02388	6	LUAD:UCS:STAD:BRCA:LIHC
ZCCHC9	ACVRL1	1	SARC
MIB2	ACVR1B:SMIM13	2	UCEC:BRCA
TNS2	ACVR1B	1	BRCA
MRRF	NR4A1:TTLL11:GLIS3	3	SARC:COAD:STAD
ACSL3	LINC00592:DMKN:PHGDH:SGPP2	4	PRAD:STAD:LUAD
KRT80	C12orf80	1	UCS
KRT7	LINC00592	1	BLCA
KRT86	LINC00592:ADARB1	2	BRCA:STAD
TPM3	LINC00592:SHE:NTRK1:GPR37L1:ALK	5	PRAD:OV:THCA:SARC:KIRP
MYL6	KRT7	1	PAAD
SLC39A5	KRT84	1	UCEC
HP1BP3	KRT5:S100A8:EMC1:TMCO4:EIF4G3:USP48:THAP4	7	HNSC:GBM:LGG:THCA:UCEC:OV:LUAD:CESC:SKCM
GBP1	KRT5	1	HNSC
LINS1	KRT5:WRAP53	2	LUSC:BRCA
ACSS3	KRT77:EEF1AKMT3:AVIL:AC108721.1:LINC01481:INSR:CYP39A1:STAU2	8	SARC
MGAT4B	KRT4:ETF1:RNF130	3	ESCA:SKCM:SARC
DSC2	KRT4:TAF4B	2	STAD:ESCA
NRG1	KRT78:PMEPA1:AC100818.1:STMN2	4	BLCA:UCS:PRAD
PELI1	KRT8:FAM192A:APLF:ACTG2	4	BRCA:SARC
DLG4	KRT8:MARCH10:NAA38	3	SARC:KIRC:OV
DANCR	KRT8:ABHD12B:RFWD2:GTF3C3:PDCD6IP:C1QTNF3-AMACR:MCM7	7	STAD:TGCT:CESC:HNSC:PRAD:UCS
ARL1	AC068888.1:UBE2N	2	LGG:SARC
RFLNA	AC068888.1	1	STAD
PARP8	AC068888.1:CRYL1:AL627309.1:KCNMB2:ANKRD55:FAM159B:ELL2:KIF6:GGCT	9	SKCM:LUSC:STAD:ACC:UCS:PRAD:CESC
SP1	IGFBP6:C12orf10:AC023509.3:ATF7	4	UCS:OV:SARC
ALG10B	IGFBP6	1	HNSC
AGPAT3	SOAT2:KSR1:ELK4:AGO3:AL050404.1:ABCG1:PDE9A:PDXK:RRP1:NAALADL2:ARMCX2	11	OV:BRCA:PRAD:STAD:UCEC:BLCA:KIRC
C12orf10	PFDN5	1	KIRC
HNRNPA1	PFDN5:AC023794.2	2	OV:ACC
DAAM1	C12orf10:HS6ST3:AL392023.2:MNAT1:PRKCH	5	SKCM:PCPG:BRCA:SARC
PCGF3	PCBP2:FANCI:NPTXR:HTT:AC092574.2:PDE6B:MYL5	7	READ:LUSC:LGG:STAD:OV:CESC:BLCA
SEC63	PCBP2:FIG4	2	STAD:LAML
INPP5D	PCBP2:GIGYF2	2	LAML:LUSC:BLCA
KRT8	AC023509.3:AC138123.2	2	BRCA:READ
MAP3K12	ATF7	1	OV
GGA3	ATF7:SMIM5	2	BRCA
LRIG3	ATF7:AC023509.3:ATP5B:PIP4K2C:ATP23:SLC16A7:LINC02231	7	PAAD:SKCM:BRCA:SARC:BLCA
STK24	ATF7:AC023509.3:PCCA:PCCA-AS1:TMTC4:SLC15A1:DOCK9:B2M:MPC2:RUNX1:PDE1A:TRIQK	12	BRCA:HNSC:OV:BLCA:LUSC:STAD:SKCM:UCEC:LUAD
AAAS	ATP5G2	1	BLCA
IRF3	ATP5G2	1	OV
HOXC4	HOXC12:KBTBD12	2	STAD:CHOL
APAF1	HOXC10:RMST:FMN1:IFRD1	4	STAD:OV
COPZ1	HOXC9:HNRNPA1:AHDC1	3	UCEC:LUAD
GDF11	HOXC8:BLOC1S1:AC090673.2	3	LGG:BRCA:SKCM
ACACA	FLJ12825:LINC02381:GLIPR1L2:METTL25:SSH2:AC025211.1:ASIC2:AC011824.2:MMP28:CCL5:AC243829.5:C17orf78:TADA2A:DDX52:SRCIN1:LASP1:GSDMB:MED24:RARA:PPM1E:PRKCA:PARD6G:WARS2:LINC00847:AL513188.1:HTRA4:ADAM9	27	SARC:LUAD:OV:ESCA:BRCA:PRAD:BLCA:KIRC:COAD:STAD
ESR1	AC023794.1:SRP14-AS1:USP25:DYNC1LI1:SIM1:RNF217-AS1:PDE7B:UTRN:MTHFD1L:AKAP12:ARMT1:CCDC170:SYNE1:POLH:PHF14:ASPH:BNC2:CH17-340M24.3	18	LIHC:BRCA:OV:SARC:UCEC
CBX5	NFE2:WDTC1	2	CESC:UCEC
ZNF385A	ITGA5:NAV3:MYLPF	3	BRCA:SARC:PRAD
ITGA5	GTSF1:C9orf3	2	LIHC:SARC:KIRC:PRAD
MAML3	GTSF1:PIBF1:SLC25A39:FAM171A2:LSG1:AC106892.1:LINC00616:SCOC-AS1:SCOC:RNF150:AC005150.1:CCDC170	12	UCEC:OV:PCPG:PRAD:COAD:BRCA:STAD:SKCM:SARC
SMUG1	GTSF1:PPP2R5A	2	OV:PRAD
CDC40	AC079313.1:IQGAP2	2	SARC:OV
FCHSD1	NCKAP1L	1	CESC
TFCP2	LACRT:RNF41	2	LUAD:PRAD
OS9	MUCL1:KIF5A:AC068305.3:C12orf66:AC078962.4:CPSF6:YEATS4:FRS2:AC078820.1:ZNF560:CD48	11	BRCA:LGG:GBM:SARC
MOK	MUCL1:PRND:ANKRD66	3	SARC:HNSC:BRCA
CS	MUCL1:CNPY2:PAN2:AC078962.4	4	HNSC:LGG:KIRC:SARC
SSR1	NTF3:FARS2:DMD	3	SARC:LUAD:GBM
YY1	TESPA1:CCNK	2	SARC:LUAD
SLC38A10	TESPA1:FAAP100:NPLOC4:OGFOD3:TMEM131:TMEM207:LINC01986:SPTAN1	8	LUAD:OV:SKCM:UCEC:STAD:SARC:PRAD
FOXM1	ANO2:SLC2A14	2	UCS:GBM
ZNF562	SARNP:DTX3:TEP1:RFX2:HK2	5	SARC:LUSC:ESCA
GABRA3	SARNP	1	SKCM
RILPL1	SARNP:CDK4:AC007298.2	3	BRCA:SARC:SKCM
ORMDL2	SARNP	1	SARC
SLC16A7	SARNP:OS9:LINC02408:NUP107:AC127894.1:ACSS3:OVAAL:GOLPH3:AL033397.2	9	ACC:LUAD:SARC:SKCM:BRCA
ZNF761	SARNP	1	PRAD
AC012531.3	PYM1	1	GBM
HOXC6	PYM1	1	GBM
HOXC9	PYM1	1	GBM
SARNP	PYM1	1	ESCA
RAB5B	DGKA:LINC01278	2	UCS:BLCA
SUOX	DGKA	1	STAD
CRTAC1	PMEL	1	SKCM
BSG	PMEL:SEPT9:EPN1	3	SKCM:LUAD:STAD
LAMTOR4	PMEL:AP4M1	2	SKCM:LUSC
HERC2	PMEL:TMEM145	2	SKCM:PRAD
AC034102.2	RAB5B:RPS26	2	BRCA:LIHC
MYL6B	RAB5B	1	SKCM
DCAF5	RAB5B:DPY19L2:RDH11:RAD51B:ERH:NOXRED1	6	BRCA:PRAD:OV:LIHC
PA2G4	RAB5B:MARK1	2	UCEC:SARC
ERBB3	SUOX:BCAR4:COX4I2	3	LUSC:LUAD:UCEC
NELFE	AC034102.3:UNC13D:AHDC1:TAP1	4	STAD:OV:SKCM:SARC
RBMS2	ERBB3:TMCC3:LITAF	3	OV:PRAD:GBM
FN1	MYL6:RPS21:WDSUB1:PECR:PNKD:CNBP:ALB:HNRNPDL:TARID	9	PAAD:THCA:KIRC:LUSC:HNSC:OV:LIHC:BLCA
SP2-AS1	RNF41:ZNF207:DNAJC7:KPNB1:SKAP1:ALDH7A1	6	BRCA:OV:SKCM
ITGA7	RNF41:MIP:MSRB3	3	ESCA:OV
COQ10A	NABP2:USP5	2	KIRC:LIHC:GBM
RNF41	CS:GLS2:MSRB3:MYO1C	4	STAD:ACC:UCS:BLCA:OV
PYM1	AC073896.1:NACA:SLC16A7:AC078962.4	4	BRCA:ACC:PRAD
CSNK1G1	AC073896.1:SLC27A2:AP4E1:AC018618.1:AC000124.1	5	ACC:ESCA:KICH:BRCA:UCEC
CDK2	PAN2:ALK	2	SARC:SKCM
HCFC2	STAT2	1	SARC
