all_gene2	five_prime_partners	num_five_prime_partners	three_prime_TCGA_Projects
IGFL2	TPM4:PALM	2	SARC:LGG
AC006262.3	HNRNPUL1:STAG1	2	OV
PPP5C	FAM98C:BCL3:GGA2	3	SARC:OV
ODF3L2	MED1:SIPA1L3	2	BRCA:ESCA
PPP5D1	ANKRD27:NAPA	2	CESC:BRCA
TNFAIP8L1	GRAMD4:ASTN2	2	ESCA:PRAD
AC093503.1	ZNF529:ZNF850	2	CESC:BRCA
MYDGF	MAP2K2	1	UCEC
CALM3	SBF2	1	LGG
DACT3	DOCK1:NDRG1	2	UCEC:PRAD
DACT3-AS1	VCL	1	PRAD
PRKD2	RCC1:CASZ1:EGFR	3	STAD:PRAD:LUAD
STRN4	ZNF350-AS1:PRKD2	2	OV:SARC
SLC1A5	ARHGAP35	1	CHOL
DPP9	SH3GL1	1	LIHC
AP2S1	PPP5C:ZMYM4	2	ESCA:OV
ARHGAP35	RNF126:ZC3H4:SAE1:DHX34:BICRA:ZNF17:TTC33	7	PRAD:ACC:STAD:LUSC:OV:SARC:TGCT
NPAS1	TCF12	1	PRAD
ZC3H4	TMEM160:RELB:C19orf68	3	ESCA:OV:LGG
SAE1	NRBF2:TNRC6B:TRIB1:DHX34	4	BRCA:OV:BLCA:UCEC
CCDC9	C19orf48:PPP1R13L	2	PRAD:PAAD
C5AR1	EHD2	1	BRCA
SLC8A2	HNRNPUL1	1	PRAD
NAPA	NUP62	1	THYM
NAPA-AS1	BICRA	1	BRCA
ZNF541	BLVRB	1	CESC
BICRA	PPP1R37:BCL7A	2	CESC:UCEC
EHD2	SELENOW	1	HNSC:STAD
NOP53-AS1	STRN4:SIPA1L3	2	STAD:UCEC
ELSPBP1	ZNF460	1	BRCA
PLA2G4C	CARM1:IFI6	2	ESCA:SARC
LIG1	SIPA1L3:CDKAL1	2	PRAD:BLCA
AC011466.3	C19orf68	1	LUAD
C19orf68	EARS2:ZNF541	2	OV:ESCA
CARD8	EP300:LONP1	2	OV:SKCM
ZNF114	GAK	1	PRAD
CCDC114	KIF21A	1	STAD
EMP3	FNDC3B:PPP1R15A:FTL	3	BLCA:CESC:SARC
TMEM143	CTU1	1	CESC
SYNGR4	CXCL17	1	BLCA
KDELR1	CD1C	1	LUSC
GRIN2D	AC020915.6:RHPN2:SAE1	3	SKCM:OV:READ
KCNJ14	RNPS1	1	OV
AC008403.2	PPP1R12C	1	BRCA
LMTK3	KMT2C	1	READ
SULT2B1	ZNF420:CARD8	2	KIRP:GBM
FAM83E	NUCB1:SUMO3	2	OV
RPL18	SRRM2	1	THCA
SPHK2	TRPM4	1	ESCA
DBP	ZNF235:LMTK3	2	OV:STAD
FUT2	PRRG2	1	LUSC
RASIP1	LMTK3:FUT2:MAMSTR	3	LUAD:UCS:OV
IZUMO1	PPFIA3	1	CESC
BCAT2	FCGRT	1	GBM
HSD17B14	CAPN5:RPL18:ZNF253	3	LIHC:UCS:LGG
PLEKHA4	R3HDM4:ZNF16	2	OV:SARC
PPP1R15A	SAFB	1	OV
TULP2	SBNO2	1	ACC
NUCB1-AS1	LIG1:PLEKHA4	2	BRCA:SKCM
ARRDC5	PLIN3	1	BRCA
DHDH	ABCC3:BAX:SNRNP70:AP2A1	4	STAD:BRCA:LUSC:OV
BAX	SNRNP70:SAE1	2	THCA:PRAD
FTL	GYS1	1	ESCA
GYS1	NARFL:KDELR1	2	ESCA:LUSC
RUVBL2	ALDH16A1:SH3GL1:PRRG2:PRMT1	4	TGCT:LGG:THCA:ESCA
SNRNP70	ARHGEF1:TRPM4:SERF2:APOBEC3F	4	CESC:BRCA:PRAD:OV
UHRF1	KDM4B:ATG4D:PLEKHA5	3	BRCA:OV:SARC
PPFIA3	TRPM4	1	BRCA:HNSC:PRAD
TRPM4	ZNF155:DNAJB1:MED25:ACPP	4	LGG:ESCA:BRCA:PRAD
CD37	CCDC106:MAP3K13	2	BRCA:GBM
TEAD2	TDRD12:EGFR	2	PRAD:LUSC
DKKL1	ZSCAN5A:EEF1A2	2	SKCM:BRCA
CCDC155	RPL13A:AC011498.5:NLGN1	3	OV:STAD:GBM
ALDH16A1	PIH1D1:FLT3LG:RANBP3:TAF2:MAP3K10	5	BRCA:HNSC:LGG:PRAD
AC010619.1	TAF2	1	BRCA
FLT3LG	SCAF1:BCL2L12	2	HNSC:PRAD
RPL13A	ZNF493:ATP5B:RPS11	3	PAAD:STAD:BLCA
RPS11	STX10:SLC25A6:CPT1C	3	UCS:PRAD:CESC
FCGRT	GPATCH1:ACTR1A:NPLOC4:PRRG2:TBC1D17:SCAF1:ETFB	7	STAD:OV:ESCA:BRCA:LIHC:KIRC
NOSIP	TEAD2:LMTK3	2	STAD:CESC
PRRG2	TMPRSS2:PRR12:ZNF671	3	PRAD:BRCA
RRAS	LINC01315	1	UCEC
IRF3	ZNF814	1	BRCA
BCL2L12	PRMT1:IGFBP3	2	OV
ADM5	YARS	1	BRCA
CPT1C	JAZF1	1	GBM
AP2A1	SLC1A5:MED25:AC020915.6:SAFB2:ZNF223:TBC1D17	6	CESC:BRCA:GBM:SKCM:SARC
PTOV1-AS1	TEAD2	1	BRCA
PTOV1	SIPA1L3:AP1S1:ATF5	3	STAD:UCS:LIHC
TBC1D17	SIN3B:NUP62:FZR1	3	SARC:CESC:LGG
IL4I1	NFIC:SLC39A14	2	SARC
NUP62	CCDC9	1	BLCA
ATF5	PDE8A:ZNF534	2	SARC:HNSC
SIGLEC11	ZNF160	1	UCEC
VRK3	AP2A1:GYS1	2	SKCM:OV
ZNF473	EPS15L1	1	LUSC
AC010624.1	C19orf54	1	PRAD
AC005775.1	BCAR3	1	BRCA
MADCAM1	FAM60A:FOXK2	2	STAD:BRCA
MYH14	PRKD2:CARD8:ZNF578	3	STAD:ESCA:MESO
KCNC3	TMEM189	1	BRCA
KDM4B	STK11:DYRK1A:SMARCA4:RPL36:USP34	5	BRCA:LUSC:ESCA:UCEC
NR1H2	ZNF91	1	LUAD
NAPSA	GALK2:KCNC3	2	BRCA:OV
EMC10	POLR3K	1	LUSC
LRRC4B	NUTM2B-AS1	1	LGG
SHANK1	U2AF2	1	STAD
CLEC11A	PPP1R12C	1	UCS
AC010325.1	SMARCA4	1	LGG
ACPT	C19orf48	1	LUSC
C19orf48	LIG1	1	PRAD
LINC01869	SPATA13:MZF1-AS1	2	BRCA
KLK1	TPM1:APOE:NCOA3:MICALL2:FAM122B	5	ACC:KICH:STAD:COAD
AC011523.1	ZNF780B:AC006942.1:RPS5:ZC3H3	4	PRAD:BRCA
KLK3	AC006942.1:ZC3H3:AC022087.1:PROSER3:KCTD3:RBM5	6	PRAD:BRCA
KLK2	TSEN2:SPSB3:RANBP3:TMEM259:COL6A2	5	PRAD
KLK4	KAT6A	1	BRCA
AC011483.3	ACTN4	1	STAD
KLK7	KDM4C:C19orf48	2	LUAD:OV
AC011483.2	COQ8B	1	BRCA
KLK10	AC010320.4:ZNF329	2	OV
KLK11	CIC	1	LUAD
KLK12	HMG20B	1	OV
CTU1	ZNF549	1	BRCA
SIGLEC9	TLK2	1	BRCA
SIGLEC7	ZNF613	1	BLCA
SIGLECL1	AC008758.4:ZNF714:ZNF557	3	SARC:LUSC
ETFB	BAALC-AS1:ZNF805	2	BRCA:OV
LIM2	ETFB	1	BRCA
SIGLEC12	MED25	1	LUAD
SIGLEC6	ZNF431	1	SARC
PTPRS	CDC27:IP6K2:HARBI1:HNRNPM	4	UCS:OV:GBM
HAS1	SAE1	1	SARC
FPR1	ZNF480	1	LUSC
FPR2	ZNF536:FXN:TMEM255A	3	BRCA:SARC
TPGS1	FAM60A:DBNDD1:SBNO2:PPP1R12C:STXBP2:SERINC2	6	STAD:BRCA:OV
ZNF350	MTG1:GATAD2A:ZNF649:ELK4	4	STAD:ESCA:LUAD:PRAD
ZNF614	ELP5	1	PRAD
ZNF841	LINC00665:ADNP	2	OV:BRCA
ZNF616	ZNF841	1	SKCM
AC011468.2	NFX1	1	BRCA
PPP2R1A	ZNF773:ZNF766:KATNA1	3	BRCA
ZNF610	NR1H2	1	BRCA
ZNF880	CHD2	1	SKCM
ZNF528	FUZ	1	GBM
ZNF83	ZNF528-AS1	1	PRAD
ZNF28	LENG8-AS1	1	BRCA
ZNF468	TANC2:ZNF787	2	SARC
AC010328.1	MKNK2	1	ESCA
ERVV-2	STRN4:ARFGAP1	2	OV
ZNF160	ZNF611	1	BRCA
ZNF415	ZNF160	1	KIRC:OV:SKCM:HNSC:THCA:KICH
ZNF677	RHPN2	1	STAD
ZNF761	ZNF567	1	BRCA
DPRX	PSMD11:TG	2	BLCA:THCA
AC008440.1	AEBP1	1	SKCM
PRKCG	NDUFA7	1	HNSC
CACNG7	PRPF31:LIPE-AS1	2	OV:MESO
CACNG8	PTK2	1	LUAD
CACNG6	BCAS3	1	OV
VSTM1	ZNF646:BBX	2	UCEC:SARC
TARM1	ZNF83:FXYD3	2	OV:BLCA
NDUFA3	KLK3	1	PRAD
PRPF31	AL354696.2:ARID3A	2	OV:ESCA
CDC34	MISP	1	LIHC
MBOAT7	PPP1R13L:EMC10	2	ESCA:BRCA
TSEN34	RPS9	1	BRCA
RPS9	LENG8:PLD3	2	OV
LAIR1	ZNF584	1	BRCA
TTYH1	COX6B1:CNTN5:RPL36	3	LUAD:LUSC:GBM
CDC42EP5	SNRNP70:PRR12	2	BLCA:CESC
LAIR2	RNF165:CSE1L	2	LGG:OV
LILRA2	ATP9B	1	LGG
KIR2DL1	ZNF154:C14orf37	2	BRCA:PRAD
KIR3DL2	U2AF2	1	ESCA
NLRP7	GAPDH:LINC01791	2	CESC:SKCM
NLRP2	LSR:SDHB	2	ESCA:STAD
RDH13	ZNF606:ADCK5	2	BLCA:LUSC
EPS8L1	PPP6R1	1	STAD
PPP1R12C	ZNF787	1	STAD
TNNT1	CMPK1	1	LUSC
AC010327.3	KAT5	1	OV
PTPRH	PPP1R12C:ZNF345	2	STAD:LGG
AC010327.4	C19orf48	1	PRAD
PPP6R1	THOC7:PPP1R12C:VRK3:RDH13	4	STAD:LUAD:CESC
HSPBP1	PPP6R1:BRSK1:PTPRH	3	ACC:BRCA:ESCA
BRSK1	HNRNPUL1:RHPN2	2	CESC:ESCA
IL11	RPN2	1	OV
RPL28	GATAD2A:ZNF844:PPP1R12C	3	LUSC:OV:SKCM
UBE2S	STRN4:TMC4	2	STAD:LUSC
SHISA7	UBE2S	1	BRCA
SSC5D	AC005498.3	1	LGG
SBK3	PPP6R1	1	ESCA
FIZ1	ADAM10	1	BRCA
ZNF524	CLASRP	1	KIRP
ZNF865	ZNF235	1	LGG
TINCR	ZNF20	1	SKCM
CCDC106	ZNF583	1	LGG
U2AF2	EPN1:RER1:TIE1:DYNLT3	4	BRCA:THYM:STAD:LUAD:LUSC
EPN1	ZNF329:ZNF583:BSG	3	PRAD:UCEC:STAD
NLRP9	U2AF2	1	LUSC
NLRP11	ZNF331	1	BRCA
NLRP4	PHC2:KLK8	2	UCEC:OV
NLRP8	PRRC2C	1	BLCA
NLRP5	ZNF492	1	BRCA
ZNF787	PIAS4	1	SARC
SAFB2	ACPP	1	PRAD
ZSCAN5B	ZNF787	1	KIRP
SAFB	CRB3	1	STAD
AC006116.8	FXYD3	1	BRCA
ZNF582-AS1	ZNF583	1	BRCA
ZNF667-AS1	ZFP28	1	THCA
ZNF471	ZNF83	1	SARC
SMIM17	AKT2	1	SARC
ZIM2-AS1	ZNF417:ZNF557	2	BRCA:ESCA
RPL36	MFSD12	1	BRCA
LONP1	SAFB2:ALDOA	2	TGCT:KICH:LUAD
AC009005.1	CEACAM19	1	ESCA
AURKC	PPP6R1:PPP6R2	2	BRCA:SARC
ZNF460	PPP1R12C	1	BRCA
ZNF543	AC092295.1:AC020915.1	2	LAML:BRCA
ZNF304	ATRX	1	LGG
ZNF749	AC003006.1	1	SKCM
CATSPERD	SAFB2	1	OV
ZNF530	KCNC3:ZNF586:ZNF274	3	LGG:KIRC:HNSC
ZNF211	UBL3	1	BRCA
ZSCAN4	ZNF587B:ZNF587	2	BRCA
ZNF671	FOXK1	1	BRCA
ZNF586	KLHL20	1	CESC
DUS3L	LONP1:TP53	2	COAD:SARC
AC010326.2	ZNF586	1	BLCA
ZNF418	HSPBP1	1	PAAD
BSG	STK11:HCN2	2	STAD:LGG
C19orf18	ZNF460:ZNF416	2	COAD:STAD
ZNF606	FRYL	1	BRCA
ZSCAN18	RELB:MED26:CADM4:ZNF606	4	STAD:CESC:LUAD
ZNF274	PI4KA	1	LUAD
ZNF544	ZNF8:AVL9:IVD:BCAT2	4	KIRC:GBM:OV
AC020915.4	BCL2L12	1	OV
AC020915.1	CHD9:AC083923.2	2	BLCA:BRCA
ZSCAN22	MEGF6	1	OV
FUT6	LONP1	1	ESCA
ZNF497	ZNF569	1	SARC
AC012313.3	ZNF569	1	SARC
ZNF837	ZSCAN18	1	LGG
RPS5	MAN2B1:CLPTM1:TM6SF2	3	STAD:LUAD:BRCA
ZNF584	MZF1-AS1	1	BRCA
SLC27A5	LUC7L	1	BLCA
ZBTB45	SAE1:TRIM28	2	BRCA:LUSC
TRIM28	AL445472.1:TMEM223	2	OV:STAD
UBE2M	MZF1-AS1	1	BRCA
MZF1	ZNF274	1	BRCA
NDUFA11	SAFB2	1	LUAD
CAPS	AC011444.1	1	BRCA
RANBP3	CTSF:CREBBP	2	SKCM:UCEC
RFX2	DNM2:RANBP3:KCNMA1:SAFB:ZNF562	5	BLCA:LUAD:BRCA:OV:LUSC
AC011444.1	MYO9B	1	SARC
AC011444.2	DNM2:KHSRP:TSPEAR	3	STAD:MESO:OV
ACSBG2	NCLN	1	LUAD
MLLT1	RAB3D:RANBP3:ADAMTS10	3	STAD:PRAD:BRCA
CLPP	C3	1	LIHC
PSPN	ARHGAP28	1	BRCA
GTF2F1	ACP5	1	SKCM
SLC25A23	EEF2:HNRNPM	2	PRAD:LUAD
CRB3	TANC2	1	LUAD
RNF126	OAZ1:KLF16:MKNK2:SHC2	4	LAML:BRCA:SKCM
C3	ILF3:EEF1A1:AC018521.2	3	BRCA:STAD:LIHC
GPR108	C3	1	OV
TRIP10	HOMER3	1	OV
SH2D3A	NDUFA7:MYO9B	2	BRCA:SARC
VAV1	ZNF823:LRP3:SLC45A3:ZNF525:EVI5L	5	BRCA:LGG:PRAD:OV
PRSS57	RNF126	1	HNSC
ADGRE1	DNMT1:FRS2	2	BLCA:SARC
AC025278.1	MIDN	1	KIRP
INSR	MAP2K2:ACSS3:MDM1:ENPP1:IFT81:ARHGEF18:HNRNPH1:PLXNC1:ELL	9	OV:SARC:STAD:BRCA
PALM	CIRBP:C19orf24:PTBP1:PIP5K1C:MED16	5	LGG:DLBC:BRCA
AC119396.1	SH2D3A:ILF3	2	HNSC:UCS
ARHGEF18	PAK1	1	BRCA
PEX11G	UHRF1	1	SARC
TEX45	ZNF790	1	ESCA
AC008878.1	VPS52	1	LGG
MCOLN1	HNRNPM:PCNT	2	UCS:BRCA
MISP	ZNF808:CFD	2	BLCA:ESCA
CAMSAP3	PDE4A:EYS	2	OV:LGG
XAB2	ZNF136	1	SKCM
CLEC4M	SBNO2	1	LGG
EVI5L	LRRC8E	1	HNSC
LRRC8E	TJP3	1	LUSC
MAP2K7	LONP1	1	BRCA
TGFBR3L	TECR	1	STAD
TIMM44	AC072022.1:TMEM161A:SNRNP70	3	OV:SARC
ELAVL1	ZNF420:CLASRP:SBNO2:INSR:ZNF699	5	SKCM:OV:STAD:LIHC:BRCA
PTBP1	CIRBP	1	BLCA
CCL25	ABHD17B	1	PRAD
FBN3	POLR2A	1	LAML
CERS4	UQCR11:RARA:SPEN:SIRT6:ZNF558	5	BRCA:UCEC:LUAD:SARC
AZU1	STK11:SF3A2	2	PAAD:PRAD
NDUFA7	ZNF98	1	BRCA
KANK3	ZNF208:ZC3H4	2	LGG:SARC
ANGPTL4	PTPRS:DNM2:RAB11B	3	SARC:LIHC
RAB11B-AS1	KANK3	1	BRCA
MARCH2	PROSER3	1	ESCA
HNRNPM	ZNF317:ICAM1:GZMM	3	LUSC:STAD
PRAM1	VASP	1	ESCA
MYO1F	MRI1:ZNF414	2	KIRP:LUAD
ELANE	CERS4	1	SKCM
MED16	AL157935.2:ZNF561:CHI3L1:PLPPR3:RNF126	5	ACC:OV:TGCT:LGG
MBD3L1	PEX6	1	OV
MUC16	AC008554.1	1	OV
R3HDM4	MED16	1	ACC
ZNF317	LRP5:CLASRP:AC104036.1:ZNF608	4	HNSC:ESCA:UCEC:OV
ARID3A	INPP5E:SHROOM4	2	ESCA:UCEC
ZNF266	TRHDE:UNK	2	SARC:LUAD
ZNF560	OS9	1	SARC
AC008567.3	ILF3	1	HNSC
ZNF121	HK2	1	ESCA
ZNF846	HAUS8:ZNF256:NDUFA11:SLC25A25	4	OV:BRCA:LUSC:PRAD
UBL5	HIP1R	1	ESCA
PIN1	SLC44A2	1	LGG
OLFM2	ZNF121	1	BRCA
WDR18	JPT2:NFIC:CNN2:GPX4:CIRBP:SAE1	6	LUSC:BRCA:LIHC:BLCA:LUAD:KIRC
SLC35A3	AC118553.2	1	COAD:BRCA
RBP7	UBE4B:KIRREL	2	THYM:BRCA
RTCA	CDC14A:SLC30A7	2	SARC:OV
CDC14A	NSUN3:AKT3:AL158850.2	3	STAD:SKCM:BRCA
UBE4B	WDR82:SIDT1:CTNNBIP1	3	UCEC:OV:LUSC
AC093157.1	KIAA1217	1	BRCA
LINC01709	PRPF38B	1	SKCM
OLFM3	MFSD14A:SMG7:TRABD2B	3	LUSC:BRCA:OV
AC114485.1	SMAP1	1	LUSC
KIF1B	KCNAB2:EXOSC10	2	LGG:LUAD
RNPC3	TMEM14B	1	OV
AMY2B	KLHL8:PNLIP:CLPS	3	UVM:PAAD
AMY1A	TERF2IP	1	PRAD
PGD	PITPNM2:TMTC1:KRT6B:CENPS:TARDBP:PEX14	6	COAD:UCEC:ESCA:BRCA:BLCA
APITD1-CORT	PATJ	1	CESC
CENPS	PEX14:CAPZB	2	BRCA:UCEC
PEX14	C10orf76:UBAP2L:MMP24-AS1	3	ESCA:STAD
LINC01676	POLD4	1	BRCA
AL355306.2	FARS2	1	BRCA
AL139423.1	LRIG2	1	ESCA
CASZ1	OBSCN	1	HNSC
NTNG1	HSPG2:MKL1:WARS2:FAM69A	4	LUAD:SKCM:BRCA
VAV3	ZHX2	1	BRCA
SLC25A24	FAM102B	1	BLCA
NBPF6	FCHSD2	1	BRCA
C1orf159	NOC2L:SLC41A1:EPS15	3	CESC:ESCA:SKCM
STXBP3	SCP2:AMPD2	2	SKCM:OV
SPATA42	GPSM2	1	BRCA
GPSM2	SARS:MTF2	2	HNSC:BRCA
WDR47	RAB4A	1	PRAD
TMEM167B	KIAA1324	1	PRAD:BRCA
C1orf194	WDR47:ALG14:SLC35A3:TRAF3IP2-AS1	4	BRCA:LUSC:PRAD
KIAA1324	SARS:CELSR2:GNAI3:TRAF3IP2:LAMTOR5-AS1	5	BRCA:UCEC:UCS:PRAD
SARS	GNAI3:TMPRSS2:NUB1:CELSR2	4	BRCA:PRAD:UCEC
MYBPHL	PSRC1	1	OV
SORT1	ATP1A1	1	LUSC
PSMA5	SORT1:MAST2:NOTCH2	3	UCEC:SKCM:OV:LGG
SYPL2	EPAS1	1	LIHC
CYB561D1	GNAI3	1	ESCA
GPR61	GNAI3	1	LGG
GNAI3	AHCYL1	1	STAD
GSTM4	KCNC4:DHRS2:AL158847.1	3	BRCA:BLCA:ACC:KIRP:THYM
GSTM5	AHCYL1	1	STAD
CSF1	EPS8L3	1	ESCA
AHCYL1	UBQLN4:STRIP1:TULP4	3	PRAD:STAD:BRCA
LINC01397	LAMTOR5-AS1	1	BRCA
SLC6A17	UCHL5	1	ESCA
MASP2	ANKHD1-EIF4EBP3:CASZ1:MRPL37	3	SARC:OV:STAD
AL355488.1	MOV10	1	BRCA
SRM	KIF3C	1	UCS
EXOSC10	CASZ1:OLFM2:MASP2:SRM	4	UCEC:LIHC:TGCT
AL360270.1	ZNF326	1	SKCM
CEPT1	SRGAP3	1	GBM
DENND2D	AHCYL1:ILF3	2	BRCA
CHI3L2	TRIT1	1	BRCA
MTOR	CASZ1:KAZN:DDI2:ZBTB17:CHD1	5	STAD:UCEC:LUAD:LAML
CHIA	FAF1	1	BLCA
MTOR-AS1	PRKCZ	1	GBM
ATP5F1	RSBN1	1	LUAD
TMIGD3	TMED5:SLC20A2:GPAM	3	LUAD:LIHC
ADORA3	GPAM	1	LIHC
LINC01160	MYO1C	1	OV
RAP1A	MAGI3	1	BRCA
CTTNBP2NL	GNAI3:SUCLA2	2	BRCA:OV
ST7L	CDC27	1	BRCA
CAPZA1	FAF1	1	STAD
MOV10	CEPT1:LRIG2	2	UCEC:OV
LINC01356	MAGI3	1	OV
AL390729.1	GDI2:SPIDR:KCND3	3	LUAD:BLCA:PRAD
UBIAD1	MFN2	1	PRAD
SLC16A1	MLLT10	1	SKCM
AL357055.3	CAPZA1	1	STAD
LRIG2	HIPK1	1	BRCA
MAGI3	WDR37	1	OV
RSBN1	ST7L	1	BRCA
PTPN22	PHTF1:RSBN1	2	CESC
AP4B1	NASP	1	SARC
BCAS2	AC097376.2	1	ESCA
DENND2C	NFAT5:MINOS1	2	SKCM
AMPD1	TFIP11	1	LUSC
CSDE1	ZNF701:TRIM33:BCAS2:ARHGEF10L	4	OV:ESCA:BRCA:PRAD:LUSC
SYCP1	TRIM33:IGSF3	2	OV:COAD
DISP3	VAMP3	1	BRCA
AL512638.2	NUMA1:CSDE1	2	BRCA:OV
VANGL1	WASF2:ATP1A1:MAN1A2:ZNRF2	4	UCEC:BRCA
CASQ2	LRP5	1	BRCA
LINC01649	MAN1A2	1	BRCA
SLC22A15	SDE2	1	PRAD
LINC01647	PTPRU	1	OV
ATP1A1	TYMS	1	BRCA
LINC01762	NOTCH2:INTS12	2	SARC:BRCA
IGSF3	ATP1A1:ANO1:MAN1A2:CLOCK	4	STAD:BRCA:HNSC:LGG
C1orf137	NBPF26	1	SARC
FBXO6	TNFRSF1B	1	SKCM
CD2	PTGFRN:FOCAD	2	LUSC:UCEC
MAD2L2	SPATA6:MTOR	2	BRCA:UCS
PTGFRN	VTCN1:SMAP1	2	OV:SKCM
CD101	MICU2:MAN1A2	2	ESCA:BRCA:OV
AL445231.1	HSPA9	1	PRAD
DRAXIN	CTNNBIP1	1	ESCA
TTF2	DRAM2:MAN1A2	2	STAD:BRCA:UCEC
VTCN1	MAN1A2	1	OV
LINC01525	MED15	1	HNSC
MAN1A2	RAI1:CD58:IGSF3:SRGAP2C:CSPP1:TAF15:REL	7	LIHC:BRCA:PRAD:LUAD:LUSC
AGTRAP	KIF1B	1	LUAD
TTLL10	PLPBP	1	ESCA
SPAG17	MREG:NOTCH2:GDAP2:CERS4	4	SARC:HNSC:BRCA
TBX15	DDX20:IGSF3	2	LAML:BRCA
WARS2	ACACA:KIAA1549L:SEC22B:PPP1R21	4	OV:HNSC:SKCM:BRCA
AL359915.2	MARCH6:TMPRSS2	2	KIRC:PRAD
AL359915.1	ATP6V1A	1	STAD
LINC01780	NBPF26	1	BRCA
HAO2	NBPF26:FAM222B	2	BRCA:LIHC
HSD3B2	PPFIA1:NF2	2	BRCA
PLOD1	MFN2:CLIC4	2	STAD:GBM:OV
HSD3B1	JARID2	1	LUAD
PHGDH	TTC39A:WARS2:KAZN:ACSL3:ZDHHC21	5	LUAD:LUSC:SARC:SKCM
HMGCS2	PHGDH	1	LUSC
REG4	WARS2	1	KIRC
NOTCH2	EIF5:ACSM2B:FBXL20:ATP1A1:PTGFRN:MAGI3	6	KIRP:BRCA
MFN2	AP2B1:VPS13D	2	STAD
MIIP	LINC00174	1	OV
NBPF26	ITCH	1	LUAD
LINC00623	PHGDH:PLPP1	2	LUSC:PRAD
FCGR1B	KAT6A	1	PRAD
TNFRSF8	STARD13	1	BRCA
AC244021.1	SEPT11	1	PRAD
AL592494.1	PSMD12	1	GBM
TNFRSF1B	VPS13D:SPEN	2	SKCM:PRAD
VPS13D	ZBTB40	1	LUAD
SDF4	ERBB2:C1orf159:SMARCB1:ULK4	4	BRCA:LUAD:OV
DHRS3	KAZN:FAM212B:CAMSAP2:CAMTA1	4	KIRP:SARC:LIHC:LUSC
UBE2J2	MDM2:ADAR:LZTS2:SDF4:ACAP2	5	BLCA:UCEC:KIRC:BRCA
LINC01786	GNB1	1	LUSC
ACAP3	UBE2J2	1	BRCA
INTS11	ACAP3:C3	2	OV:LIHC
PRAMEF19	C6orf106	1	SKCM
DVL1	ACAP3:CD2AP	2	BRCA:GBM:LUSC:LUAD
LRRC38	PRDM2	1	THYM
MXRA8	IFT52	1	BLCA
PDPN	UBE4B	1	LUSC
AURKAIP1	C1orf159	1	STAD
PRDM2	GALNT18	1	SKCM
MRPL20	CCNL2:UBE2J2	2	BLCA:COAD:LUSC:CESC
KAZN	TMCO4:PTPRU:PTBP2:TMEM51	4	LUAD:UCEC:BRCA:HNSC
LINC01770	HSPG2	1	BRCA
AC246785.3	HSPG2	1	PAAD
RNF115	BAZ1A:GPR89A	2	LUSC:BRCA
POLR3C	LIX1L-AS1	1	BRCA
PIAS3	ACP6	1	SARC
LIX1L	RNF115:TNRC6A:VOPP1:DMD	4	OV:PCPG:LUSC:SARC
LIX1L-AS1	PTGR1	1	BLCA
POLR3GL	AL121790.1	1	PRAD
TXNIP	GAPDH	1	KIRC
HFE2	LRBA	1	PRAD
ATAD3C	TAF12	1	PAAD
FMO5	DHX8	1	BLCA
AC242426.3	ARNT	1	STAD
AC242426.4	DDR2	1	SARC
CHD1L	ADAM15:SMG7	2	PAAD:STAD
LINC00624	RNF115	1	SARC
BCL9	ACP6:UAP1	2	ESCA:STAD:BRCA:OV
ACP6	TUBGCP4:CNOT2:ARHGEF3	3	STAD:SARC:BRCA
GJA5	ATF6	1	LUAD
LINC01731	PEMT	1	BRCA
LINC01138	TARBP1	1	BRCA
AC245100.1	NBPF9:PDE4DIP	2	PRAD:UCS
NBPF14	GBF1	1	COAD
PDE4DIP	KCNK5:TRPS1	2	LUAD:BRCA
NBPF9	ABI3BP	1	KIRC
NBPF19	RARS	1	LUAD
ATAD3B	B4GALNT4	1	MESO
LINC00869	NOTCH2	1	LUSC
OTUD7B	PRPF3:FSD1L	2	SARC
VPS45	RPRD2:PRPF3:TARS2	3	BRCA:ESCA:LUSC
CA14	MRPS21:RPRD2	2	BRCA:LIHC
APH1A	CREB5	1	PCPG
CIART	PRPF3	1	STAD:BRCA
MRPS21	PRPF3:TARS2:SETDB1:PRUNE1:GABPB2:ATP2B4	6	BRCA:PRAD:UCEC:THCA:OV:SARC
PRPF3	RPRD2:SETDB1	2	SKCM:LUSC:PRAD:LUAD
RPRD2	SYMPK:SHC1:ENSA:ZNF148:DAP3:TARS2:RNF215	7	UCEC:BRCA:BLCA:SARC:GBM:OV
TARS2	FALEC:SNX27:RIT1	3	OV:LUAD:UCEC
FALEC	KIF13B	1	UCS
ENSA	ANP32E	1	THCA
GOLPH3L	SEC13	1	BLCA
HORMAD1	GOLPH3L:OTUD7B:XPO1	3	PAAD:BRCA:LUSC
CTSS	OTUD7B:GOLPH3L:NBPF19:RRNAD1:POU2F1:LRRN2:ENSA	7	LUSC:BRCA:OV:BLCA:UCEC:STAD
CTSK	ANP32E	1	OV
ARNT	PDE4DIP:RRNAD1:GSK3B:CTSS	4	BRCA:PRAD:KIRC
AL355860.1	VCL:RPS19:SETDB1:PSMD4:UAP1	5	OV:BLCA:UCEC:LUAD:BRCA
PRUNE1	FLAD1	1	STAD
CDC42SE1	BTAF1:IPPK	2	OV:BLCA
MLLT11	PIP5K1A	1	BRCA
SCNM1	PIP5K1A:TUFT1	2	LUSC:LIHC
TMOD4	PDSS2	1	STAD
