Gene stable ID	Gene name	number_of_domains
ENSG00000005812	FBXL3	1
ENSG00000005844	ITGAL	4
ENSG00000005882	PDK2	2
ENSG00000005884	ITGA3	3
ENSG00000005889	ZFX	5
ENSG00000005893	LAMP2	1
ENSG00000005961	ITGA2B	4
ENSG00000005981	ASB4	2
ENSG00000006007	GDE1	1
ENSG00000006015	C19orf60	1
ENSG00000006016	CRLF1	2
ENSG00000006025	OSBPL7	2
ENSG00000006042	TMEM98	1
ENSG00000006047	YBX2	1
ENSG00000006059	KRT33A	1
ENSG00000006062	MAP3K14	1
ENSG00000006071	ABCC8	4
ENSG00000006116	CACNG3	1
ENSG00000006118	TMEM132A	3
ENSG00000006125	AP2B1	3
ENSG00000006128	TAC1	0
ENSG00000006194	ZNF263	7
ENSG00000006210	CX3CL1	1
ENSG00000006282	SPATA20	2
ENSG00000006283	CACNA1G	4
ENSG00000006327	TNFRSF12A	2
ENSG00000006377	DLX6	1
ENSG00000006432	MAP3K9	2
ENSG00000006451	RALA	1
ENSG00000006453	BAIAP2L1	2
ENSG00000006459	KDM7A	2
ENSG00000006468	ETV1	3
ENSG00000006530	AGK	1
ENSG00000006534	ALDH3B1	2
ENSG00000006555	TTC22	1
ENSG00000006576	PHTF2	1
ENSG00000006606	CCL26	1
ENSG00000006607	FARP2	7
ENSG00000006611	USH1C	3
ENSG00000006625	GGCT	1
ENSG00000006634	DBF4	1
ENSG00000006638	TBXA2R	1
ENSG00000006652	IFRD1	2
ENSG00000006659	LGALS14	1
ENSG00000006695	COX10	1
ENSG00000006704	GTF2IRD1	5
ENSG00000006712	PAF1	1
ENSG00000006715	VPS41	1
ENSG00000006740	ARHGAP44	2
ENSG00000006744	ELAC2	2
ENSG00000006747	SCIN	6
ENSG00000006756	ARSD	2
ENSG00000006757	PNPLA4	1
ENSG00000006788	MYH13	3
ENSG00000006831	ADIPOR2	1
ENSG00000006837	CDKL3	1
ENSG00000007001	UPP2	1
ENSG00000007038	PRSS21	1
ENSG00000007047	MARK4	3
ENSG00000007062	PROM1	1
ENSG00000007080	CCDC124	1
ENSG00000007129	CEACAM21	2
ENSG00000007168	PAFAH1B1	8
ENSG00000007171	NOS2	5
ENSG00000007174	DNAH9	10
ENSG00000007202	KIAA0100	4
ENSG00000007216	SLC13A2	1
ENSG00000007237	GAS7	4
ENSG00000007255	TRAPPC6A	1
ENSG00000007264	MATK	3
ENSG00000007306	CEACAM7	2
ENSG00000007312	CD79B	1
ENSG00000007314	SCN4A	5
ENSG00000007341	ST7L	2
ENSG00000007350	TKTL1	4
ENSG00000007372	PAX6	2
ENSG00000007376	RPUSD1	1
ENSG00000007384	RHBDF1	2
ENSG00000007392	LUC7L	1
ENSG00000007402	CACNA2D2	3
ENSG00000007516	BAIAP3	3
ENSG00000007520	TSR3	2
ENSG00000007541	PIGQ	1
ENSG00000007545	CRAMP1	0
ENSG00000007866	TEAD3	1
ENSG00000007908	SELE	8
ENSG00000007923	DNAJC11	2
ENSG00000007933	FMO3	1
ENSG00000007944	MYLIP	4
ENSG00000007952	NOX1	4
ENSG00000007968	E2F2	2
ENSG00000008018	PSMB1	1
ENSG00000008056	SYN1	3
ENSG00000008083	JARID2	4
ENSG00000008086	CDKL5	1
ENSG00000008118	CAMK1G	1
ENSG00000008128	CDK11A	1
ENSG00000008130	NADK	1
ENSG00000008196	TFAP2B	1
ENSG00000008197	TFAP2D	1
ENSG00000008226	DLEC1	0
ENSG00000008256	CYTH3	2
ENSG00000008277	ADAM22	5
ENSG00000008282	SYPL1	1
ENSG00000008283	CYB561	1
ENSG00000008294	SPAG9	2
ENSG00000008300	CELSR3	16
ENSG00000008311	AASS	3
ENSG00000008323	PLEKHG6	1
ENSG00000008324	SS18L2	1
ENSG00000008382	MPND	1
ENSG00000008394	MGST1	1
ENSG00000008405	CRY1	2
ENSG00000008438	PGLYRP1	1
ENSG00000008441	NFIX	4
ENSG00000008513	ST3GAL1	1
ENSG00000008516	MMP25	6
ENSG00000008517	IL32	1
ENSG00000008710	PKD1	21
ENSG00000008735	MAPK8IP2	2
ENSG00000008838	MED24	2
ENSG00000008853	RHOBTB2	3
ENSG00000008869	HEATR5B	0
ENSG00000008952	SEC62	1
ENSG00000008988	RPS20	1
ENSG00000009307	CSDE1	6
ENSG00000009335	UBE3C	1
ENSG00000009413	REV3L	5
ENSG00000009694	TENM1	3
ENSG00000009709	PAX7	3
ENSG00000009724	MASP2	6
ENSG00000009765	IYD	1
ENSG00000009780	FAM76A	3
ENSG00000009790	TRAF3IP3	0
ENSG00000009830	POMT2	3
ENSG00000009844	VTA1	1
ENSG00000009950	MLXIPL	1
ENSG00000009954	BAZ1B	5
ENSG00000010017	RANBP9	3
ENSG00000010030	ETV7	2
ENSG00000010072	SPRTN	1
ENSG00000010165	METTL13	2
ENSG00000010219	DYRK4	1
ENSG00000010244	ZNF207	0
ENSG00000010256	UQCRC1	2
ENSG00000010270	STARD3NL	2
ENSG00000010278	CD9	2
ENSG00000010282	HHATL	1
ENSG00000010292	NCAPD2	2
ENSG00000010295	IFFO1	0
ENSG00000010310	GIPR	2
ENSG00000010318	PHF7	1
ENSG00000010319	SEMA3G	2
ENSG00000010322	NISCH	1
ENSG00000010327	STAB1	11
ENSG00000010361	FUZ	0
ENSG00000010379	SLC6A13	2
ENSG00000010404	IDS	1
ENSG00000010438	PRSS3	1
ENSG00000010539	ZNF200	3
ENSG00000010610	CD4	5
ENSG00000010626	LRRC23	2
ENSG00000010671	BTK	5
ENSG00000010704	HFE	2
ENSG00000010803	SCMH1	5
ENSG00000010810	FYN	3
ENSG00000010818	HIVEP2	0
ENSG00000010932	FMO1	2
ENSG00000011007	ELOA	2
ENSG00000011009	LYPLA2	1
ENSG00000011021	CLCN6	3
ENSG00000011028	MRC2	9
ENSG00000011052	NME1-NME2	2
ENSG00000011083	SLC6A7	1
ENSG00000011105	TSPAN9	1
ENSG00000011114	BTBD7	3
ENSG00000011132	APBA3	3
ENSG00000011143	MKS1	1
ENSG00000011198	ABHD5	1
ENSG00000011201	ANOS1	4
ENSG00000011243	AKAP8L	1
ENSG00000011258	MBTD1	4
ENSG00000011260	UTP18	1
ENSG00000011275	RNF216	0
ENSG00000011295	TTC19	2
ENSG00000011304	PTBP1	4
ENSG00000011332	DPF1	2
ENSG00000011347	SYT7	2
ENSG00000011376	LARS2	4
ENSG00000011405	PIK3C2A	6
ENSG00000011422	PLAUR	3
ENSG00000011426	ANLN	4
ENSG00000011451	WIZ	0
ENSG00000011454	RABGAP1	3
ENSG00000011465	DCN	4
ENSG00000011478	QPCTL	1
ENSG00000011485	PPP5C	3
ENSG00000011523	CEP68	0
ENSG00000011566	MAP4K3	2
ENSG00000011590	ZBTB32	2
ENSG00000011600	TYROBP	0
ENSG00000011638	TMEM159	1
ENSG00000011677	GABRA3	2
ENSG00000012048	BRCA1	4
ENSG00000012061	ERCC1	2
ENSG00000012124	CD22	5
ENSG00000012171	SEMA3B	2
ENSG00000012174	MBTPS2	1
ENSG00000012211	PRICKLE3	4
ENSG00000012223	LTF	2
ENSG00000012232	EXTL3	2
ENSG00000012504	NR1H4	2
ENSG00000012660	ELOVL5	1
ENSG00000012779	ALOX5	2
ENSG00000012817	KDM5D	6
ENSG00000012822	CALCOCO1	3
ENSG00000012963	UBR7	1
ENSG00000012983	MAP4K5	2
ENSG00000013016	EHD3	3
ENSG00000013275	PSMC4	1
ENSG00000013288	MAN2B2	3
ENSG00000013293	SLC7A14	2
ENSG00000013297	CLDN11	1
ENSG00000013306	SLC25A39	3
ENSG00000013364	MVP	5
ENSG00000013374	NUB1	2
ENSG00000013375	PGM3	3
ENSG00000013392	RWDD2A	2
ENSG00000013441	CLK1	1
ENSG00000013503	POLR3B	7
ENSG00000013523	ANGEL1	1
ENSG00000013561	RNF14	3
ENSG00000013563	DNASE1L1	1
ENSG00000013573	DDX11	2
ENSG00000013583	HEBP1	1
ENSG00000013588	GPRC5A	1
ENSG00000013619	MAMLD1	0
ENSG00000013725	CD6	3
ENSG00000013810	TACC3	1
ENSG00000014123	UFL1	1
ENSG00000014138	POLA2	2
ENSG00000014164	ZC3H3	2
ENSG00000014216	CAPN1	3
ENSG00000014257	ACPP	2
ENSG00000014641	MDH1	2
ENSG00000014824	SLC30A9	1
ENSG00000014914	MTMR11	3
ENSG00000014919	COX15	1
ENSG00000015133	CCDC88C	1
ENSG00000015153	YAF2	2
ENSG00000015171	ZMYND11	2
ENSG00000015285	WAS	3
ENSG00000015413	DPEP1	1
ENSG00000015475	BID	1
ENSG00000015479	MATR3	1
ENSG00000015520	NPC1L1	3
ENSG00000015532	XYLT2	2
ENSG00000015568	RGPD5	4
ENSG00000015592	STMN4	1
ENSG00000015676	NUDCD3	2
ENSG00000016082	ISL1	3
ENSG00000016391	CHDH	2
ENSG00000016402	IL20RA	2
ENSG00000016490	CLCA1	2
ENSG00000016602	CLCA4	2
ENSG00000016864	GLT8D1	1
ENSG00000017260	ATP2C1	4
ENSG00000017427	IGF1	2
ENSG00000017483	SLC38A5	1
ENSG00000017797	RALBP1	1
ENSG00000018189	RUFY3	1
ENSG00000018236	CNTN1	8
ENSG00000018280	SLC11A1	1
ENSG00000018408	WWTR1	1
ENSG00000018510	AGPS	2
ENSG00000018610	CXorf56	0
ENSG00000018625	ATP1A2	4
ENSG00000018699	TTC27	1
ENSG00000018869	ZNF582	9
ENSG00000019102	VSIG2	2
ENSG00000019144	PHLDB1	1
ENSG00000019169	MARCO	3
ENSG00000019186	CYP24A1	1
ENSG00000019485	PRDM11	1
ENSG00000019505	SYT13	2
ENSG00000019549	SNAI2	4
ENSG00000019582	CD74	3
ENSG00000019991	HGF	6
ENSG00000019995	ZRANB1	3
ENSG00000020129	NCDN	1
ENSG00000020181	ADGRA2	3
ENSG00000020256	ZFP64	6
ENSG00000020426	MNAT1	2
ENSG00000020577	SAMD4A	1
ENSG00000020633	RUNX3	2
ENSG00000020922	MRE11	2
ENSG00000021300	PLEKHB1	1
ENSG00000021355	SERPINB1	1
ENSG00000021461	CYP3A43	1
ENSG00000021488	SLC7A9	1
ENSG00000021574	SPAST	2
ENSG00000021645	NRXN3	8
ENSG00000021762	OSBPL5	2
ENSG00000021776	AQR	3
ENSG00000021826	CPS1	6
ENSG00000021852	C8B	4
ENSG00000022267	FHL1	4
ENSG00000022277	RTFDC1	1
ENSG00000022355	GABRA1	2
ENSG00000022556	NLRP2	6
ENSG00000022567	SLC45A4	1
ENSG00000022840	RNF10	1
ENSG00000022976	ZNF839	2
ENSG00000023041	ZDHHC6	2
ENSG00000023171	GRAMD1B	2
ENSG00000023191	RNH1	6
ENSG00000023228	NDUFS1	4
ENSG00000023287	RB1CC1	1
ENSG00000023318	ERP44	2
ENSG00000023330	ALAS1	2
ENSG00000023445	BIRC3	5
ENSG00000023516	AKAP11	0
ENSG00000023572	GLRX2	1
ENSG00000023608	SNAPC1	1
ENSG00000023697	DERA	1
ENSG00000023734	STRAP	4
ENSG00000023839	ABCC2	4
ENSG00000023892	DEF6	1
ENSG00000023902	PLEKHO1	1
ENSG00000023909	GCLM	1
ENSG00000024048	UBR2	2
ENSG00000024422	EHD2	3
ENSG00000024526	DEPDC1	2
ENSG00000024862	CCDC28A	1
ENSG00000025039	RRAGD	1
ENSG00000025156	HSF2	3
ENSG00000025293	PHF20	1
ENSG00000025423	HSD17B6	1
ENSG00000025434	NR1H3	3
ENSG00000025708	TYMP	4
ENSG00000025770	NCAPH2	3
ENSG00000025772	TOMM34	1
ENSG00000025796	SEC63	3
ENSG00000025800	KPNA6	10
ENSG00000026025	VIM	2
ENSG00000026036	RTEL1-TNFRSF6B	2
ENSG00000026103	FAS	3
ENSG00000026297	RNASET2	2
ENSG00000026508	CD44	1
ENSG00000026559	KCNG1	2
ENSG00000026652	AGPAT4	2
ENSG00000026751	SLAMF7	1
ENSG00000026950	BTN3A1	3
ENSG00000027001	MIPEP	1
ENSG00000027075	PRKCH	5
ENSG00000027644	INSRR	4
ENSG00000027697	IFNGR1	2
ENSG00000027847	B4GALT7	2
ENSG00000027869	SH2D2A	1
ENSG00000028116	VRK2	1
ENSG00000028137	TNFRSF1B	3
ENSG00000028203	VEZT	1
ENSG00000028277	POU2F2	2
ENSG00000028310	BRD9	2
ENSG00000028528	SNX1	3
ENSG00000028839	TBPL1	2
ENSG00000029153	ARNTL2	3
ENSG00000029363	BCLAF1	2
ENSG00000029364	SLC39A9	2
ENSG00000029534	ANK1	14
ENSG00000029559	IBSP	1
ENSG00000029639	TFB1M	1
ENSG00000029725	RABEP1	2
ENSG00000029993	HMGB3	2
ENSG00000030066	NUP160	1
ENSG00000030110	BAK1	1
ENSG00000030304	MUSK	5
ENSG00000030419	IKZF2	1
ENSG00000030582	GRN	7
ENSG00000031003	FAM13B	1
ENSG00000031081	ARHGAP31	1
ENSG00000031691	CENPQ	1
ENSG00000031698	SARS	2
ENSG00000031823	RANBP3	1
ENSG00000032219	ARID4A	3
ENSG00000032389	TSSC1	2
ENSG00000032444	PNPLA6	4
ENSG00000032742	IFT88	4
ENSG00000033011	ALG1	1
ENSG00000033030	ZCCHC8	2
ENSG00000033050	ABCF2	3
ENSG00000033100	CHPF2	1
ENSG00000033122	LRRC7	5
ENSG00000033170	FUT8	1
ENSG00000033178	UBA6	6
ENSG00000033327	GAB2	1
ENSG00000033627	ATP6V0A1	2
ENSG00000033800	PIAS1	2
ENSG00000033867	SLC4A7	2
ENSG00000034053	APBA2	3
ENSG00000034152	MAP2K3	1
ENSG00000034239	EFCAB1	1
ENSG00000034510	TMSB10	1
ENSG00000034533	ASTE1	2
ENSG00000034677	RNF19A	2
ENSG00000034693	PEX3	2
ENSG00000034713	GABARAPL2	1
ENSG00000034971	MYOC	1
ENSG00000035115	SH3YL1	2
ENSG00000035141	FAM136A	1
ENSG00000035403	VCL	3
ENSG00000035499	DEPDC1B	2
ENSG00000035664	DAPK2	1
ENSG00000035681	NSMAF	5
ENSG00000035687	ADSS	1
ENSG00000035720	STAP1	2
ENSG00000035862	TIMP2	1
ENSG00000035928	RFC1	3
ENSG00000036054	TBC1D23	2
ENSG00000036257	CUL3	2
ENSG00000036448	MYOM2	8
ENSG00000036473	OTC	2
ENSG00000036530	CYP46A1	1
ENSG00000036549	ZZZ3	2
ENSG00000036565	SLC18A1	2
ENSG00000036672	USP2	1
ENSG00000036828	CASR	3
ENSG00000037042	TUBG2	2
ENSG00000037241	RPL26L1	2
ENSG00000037280	FLT4	4
ENSG00000037474	NSUN2	1
ENSG00000037637	FBXO42	3
ENSG00000037749	MFAP3	1
ENSG00000037757	MRI1	2
ENSG00000037897	METTL1	1
ENSG00000037965	HOXC8	1
ENSG00000038002	AGA	2
ENSG00000038210	PI4K2B	1
ENSG00000038219	BOD1L1	1
ENSG00000038274	MAT2B	1
ENSG00000038295	TLL1	9
ENSG00000038358	EDC4	1
ENSG00000038382	TRIO	13
ENSG00000038427	VCAN	7
ENSG00000038532	CLEC16A	1
ENSG00000038945	MSR1	3
ENSG00000039068	CDH1	7
ENSG00000039123	SKIV2L2	4
ENSG00000039139	DNAH5	9
ENSG00000039319	ZFYVE16	2
ENSG00000039523	RIPOR1	2
ENSG00000039537	C6	8
ENSG00000039560	RAI14	3
ENSG00000039600	SOX30	1
ENSG00000039650	PNKP	2
ENSG00000039987	BEST2	1
ENSG00000040199	PHLPP2	5
ENSG00000040275	SPDL1	0
ENSG00000040341	STAU2	5
ENSG00000040487	PQLC2	2
ENSG00000040531	CTNS	2
ENSG00000040608	RTN4R	2
ENSG00000040633	PHF23	1
ENSG00000040731	CDH10	6
ENSG00000040933	INPP4A	0
ENSG00000041353	RAB27B	1
ENSG00000041357	PSMA4	2
ENSG00000041515	MYO16	4
ENSG00000041802	LSG1	1
ENSG00000041880	PARP3	3
ENSG00000041982	TNC	22
ENSG00000041988	THAP3	1
ENSG00000042062	RIPOR3	1
ENSG00000042088	TDP1	1
ENSG00000042286	AIFM2	1
ENSG00000042304	C2orf83	1
ENSG00000042317	SPATA7	2
ENSG00000042429	MED17	1
ENSG00000042445	RETSAT	1
ENSG00000042493	CAPG	3
ENSG00000042753	AP2S1	1
ENSG00000042781	USH2A	30
ENSG00000042813	ZPBP	1
ENSG00000042832	TG	12
ENSG00000042980	ADAM28	4
ENSG00000043039	BARX2	1
ENSG00000043093	DCUN1D1	2
ENSG00000043143	JADE2	3
ENSG00000043355	ZIC2	2
ENSG00000043462	LCP2	2
ENSG00000043514	TRIT1	2
ENSG00000043591	ADRB1	1
ENSG00000044012	GUCA2B	1
ENSG00000044090	CUL7	4
ENSG00000044115	CTNNA1	2
ENSG00000044446	PHKA2	1
ENSG00000044459	CNTLN	0
ENSG00000044524	EPHA3	7
ENSG00000044574	HSPA5	1
ENSG00000046604	DSG2	3
ENSG00000046647	GEMIN8	1
ENSG00000046651	OFD1	1
ENSG00000046653	GPM6B	1
ENSG00000046774	MAGEC2	0
ENSG00000046889	PREX2	4
ENSG00000047056	WDR37	4
ENSG00000047188	YTHDC2	6
ENSG00000047230	CTPS2	2
ENSG00000047249	ATP6V1H	2
ENSG00000047315	POLR2B	7
ENSG00000047346	FAM214A	2
ENSG00000047365	ARAP2	8
ENSG00000047410	TPR	1
ENSG00000047457	CP	4
ENSG00000047578	KIAA0556	3
ENSG00000047579	DTNBP1	1
ENSG00000047597	XK	1
ENSG00000047617	ANO2	2
ENSG00000047621	C12orf4	1
ENSG00000047634	SCML1	1
ENSG00000047644	WWC3	0
ENSG00000047648	ARHGAP6	1
ENSG00000047662	FAM184B	1
ENSG00000047849	MAP4	4
ENSG00000047932	GOPC	1
ENSG00000047936	ROS1	4
ENSG00000048028	USP28	1
ENSG00000048052	HDAC9	2
ENSG00000048140	TSPAN17	2
ENSG00000048162	NOP16	2
ENSG00000048342	CC2D2A	2
ENSG00000048392	RRM2B	1
ENSG00000048405	ZNF800	3
ENSG00000048462	TNFRSF17	1
ENSG00000048471	SNX29	2
ENSG00000048540	LMO3	2
ENSG00000048544	MRPS10	1
ENSG00000048545	GUCA1A	2
ENSG00000048649	RSF1	2
ENSG00000048707	VPS13D	6
ENSG00000048740	CELF2	3
ENSG00000048828	FAM120A	0
ENSG00000048991	R3HDM1	2
ENSG00000049089	COL9A2	9
ENSG00000049130	KITLG	2
ENSG00000049167	ERCC8	4
ENSG00000049192	ADAMTS6	9
ENSG00000049239	H6PD	3
ENSG00000049245	VAMP3	1
ENSG00000049246	PER3	2
ENSG00000049247	UTS2	1
ENSG00000049249	TNFRSF9	1
ENSG00000049283	EPN3	3
ENSG00000049323	LTBP1	18
ENSG00000049449	RCN1	3
ENSG00000049540	ELN	0
ENSG00000049541	RFC2	2
ENSG00000049618	ARID1B	2
ENSG00000049656	CLPTM1L	2
ENSG00000049759	NEDD4L	6
ENSG00000049768	FOXP3	3
ENSG00000049769	PPP1R3F	1
ENSG00000049860	HEXB	2
ENSG00000049883	PTCD2	1
ENSG00000050030	KIAA2022	1
ENSG00000050130	JKAMP	1
ENSG00000050165	DKK3	1
ENSG00000050327	ARHGEF5	3
ENSG00000050344	NFE2L3	1
ENSG00000050393	MCUR1	1
ENSG00000050405	LIMA1	1
ENSG00000050426	LETMD1	2
ENSG00000050438	SLC4A8	2
ENSG00000050555	LAMC3	13
ENSG00000050628	PTGER3	1
ENSG00000050730	TNIP3	1
ENSG00000050748	MAPK9	1
ENSG00000050767	COL23A1	7
ENSG00000050820	BCAR1	3
ENSG00000051009	FAM160A2	1
ENSG00000051108	HERPUD1	1
ENSG00000051128	HOMER3	1
ENSG00000051180	RAD51	2
ENSG00000051341	POLQ	3
ENSG00000051382	PIK3CB	5
ENSG00000051523	CYBA	1
ENSG00000051596	THOC3	4
ENSG00000051620	HEBP2	1
ENSG00000051825	MPHOSPH9	0
ENSG00000052126	PLEKHA5	2
ENSG00000052344	PRSS8	1
ENSG00000052723	SIKE1	1
ENSG00000052749	RRP12	1
ENSG00000052795	FNIP2	3
ENSG00000052802	MSMO1	1
ENSG00000052841	TTC17	2
ENSG00000052850	ALX4	2
ENSG00000053108	FSTL4	3
ENSG00000053254	FOXN3	1
ENSG00000053328	METTL24	1
ENSG00000053371	AKR7A2	2
ENSG00000053372	MRTO4	1
ENSG00000053438	NNAT	0
ENSG00000053501	USE1	1
ENSG00000053524	MCF2L2	2
ENSG00000053702	NRIP2	1
ENSG00000053747	LAMA3	22
ENSG00000053770	AP5M1	1
ENSG00000053900	ANAPC4	2
ENSG00000053918	KCNQ1	2
ENSG00000054116	TRAPPC3	1
ENSG00000054118	THRAP3	1
ENSG00000054148	PHPT1	1
ENSG00000054179	ENTPD2	1
ENSG00000054219	LY75	11
ENSG00000054267	ARID4B	3
ENSG00000054277	OPN3	1
ENSG00000054282	SDCCAG8	2
ENSG00000054356	PTPRN	3
ENSG00000054392	HHAT	1
ENSG00000054523	KIF1B	7
ENSG00000054598	FOXC1	1
ENSG00000054611	TBC1D22A	1
ENSG00000054654	SYNE2	6
ENSG00000054690	PLEKHH1	3
ENSG00000054793	ATP9A	4
ENSG00000054796	SPO11	2
ENSG00000054803	CBLN4	1
ENSG00000054938	CHRDL2	3
ENSG00000054965	FAM168A	2
ENSG00000054967	RELT	1
ENSG00000054983	GALC	2
ENSG00000055044	NOP58	2
ENSG00000055070	SZRD1	2
ENSG00000055118	KCNH2	3
ENSG00000055130	CUL1	2
ENSG00000055147	FAM114A2	1
ENSG00000055163	CYFIP2	3
ENSG00000055208	TAB2	1
ENSG00000055211	GINM1	0
ENSG00000055332	EIF2AK2	3
ENSG00000055483	USP36	1
ENSG00000055609	KMT2C	7
ENSG00000055732	MCOLN3	1
ENSG00000055813	CCDC85A	1
ENSG00000055917	PUM2	8
ENSG00000055950	MRPL43	1
ENSG00000055955	ITIH4	3
ENSG00000055957	ITIH1	3
ENSG00000056050	HPF1	1
ENSG00000056097	ZFR	4
ENSG00000056277	ZNF280C	1
ENSG00000056291	NPFFR2	1
ENSG00000056487	PHF21B	1
ENSG00000056558	TRAF1	1
ENSG00000056586	RC3H2	2
ENSG00000056736	IL17RB	3
ENSG00000056972	TRAF3IP2	1
ENSG00000056998	GYG2	1
ENSG00000057019	DCBLD2	3
ENSG00000057149	SERPINB3	2
ENSG00000057252	SOAT1	1
ENSG00000057294	PKP2	2
ENSG00000057468	MSH4	4
ENSG00000057593	F7	3
ENSG00000057608	GDI2	2
ENSG00000057657	PRDM1	3
ENSG00000057663	ATG5	1
ENSG00000057704	TMCC3	1
ENSG00000057757	PITHD1	1
ENSG00000057935	MTA3	3
ENSG00000058056	USP13	4
ENSG00000058063	ATP11B	4
ENSG00000058085	LAMC2	8
ENSG00000058091	CDK14	1
ENSG00000058262	SEC61A1	2
ENSG00000058272	PPP1R12A	3
ENSG00000058335	RASGRF1	5
ENSG00000058404	CAMK2B	2
ENSG00000058453	CROCC	1
ENSG00000058600	POLR3E	1
ENSG00000058668	ATP2B4	7
ENSG00000058673	ZC3H11A	1
ENSG00000058729	RIOK2	2
ENSG00000058799	YIPF1	1
ENSG00000058804	NDC1	1
ENSG00000058866	DGKG	5
ENSG00000059122	FLYWCH1	10
ENSG00000059145	UNKL	2
ENSG00000059377	TBXAS1	3
ENSG00000059378	PARP12	3
ENSG00000059573	ALDH18A1	2
ENSG00000059588	TARBP1	1
ENSG00000059691	GATB	3
ENSG00000059728	MXD1	1
ENSG00000059758	CDK17	1
ENSG00000059769	DNAJC25	1
ENSG00000059804	SLC2A3	1
ENSG00000059915	PSD	2
ENSG00000060069	CTDP1	2
ENSG00000060138	YBX3	1
ENSG00000060140	STYK1	1
ENSG00000060237	WNK1	2
ENSG00000060339	CCAR1	3
ENSG00000060491	OGFR	8
ENSG00000060558	GNA15	1
ENSG00000060566	CREB3L3	1
ENSG00000060642	PIGV	1
ENSG00000060656	PTPRU	5
ENSG00000060688	SNRNP40	7
ENSG00000060709	RIMBP2	3
ENSG00000060718	COL11A1	9
ENSG00000060749	QSER1	1
ENSG00000060762	MPC1	1
ENSG00000060971	ACAA1	3
ENSG00000060982	BCAT1	1
ENSG00000061273	HDAC7	1
ENSG00000061337	LZTS1	2
ENSG00000061455	PRDM6	3
ENSG00000061492	WNT8A	1
ENSG00000061656	SPAG4	1
ENSG00000061676	NCKAP1	1
