Cancer,TCGA_barcode,Gene_A,Gene_B,Chr_A,Chr_B,Strand_A,Strand_B,Discordant_Pairs,JSR,perfect_JSR,Evalue,Junction_A,Junction_B,Tier,Frame,TN,WGS_validation,Centrality,liftover_pos1,liftover_pos2
ACC,OR-A5J7-01A,PRX,BLVRB,19,19,-1,-1,117,98,86,0.58,40904527,40953953,tier1,Out-of-frame,13672,NA,0.35484,40398620,40448046
ACC,OR-A5J7-01A,RAF1,TMEM40,3,3,-1,-1,70,41,39,0.27,12705312,12784006,tier4,5UTR-CDS,14189,NA,NA,12663813,12742507
ACC,OR-A5J7-01A,RCOR1,PPP2R5C,14,14,1,1,9,9,7,0.075,103148315,102323023,tier1,In-frame,14517,NA,NA,102681978,101856686
ACC,OR-A5J7-01A,SCD5,SEC31A,4,4,-1,-1,14,6,6,0.14,83719459,83765662,tier1,Out-of-frame,15399,NA,NA,82798306,82844509
ACC,OR-A5J7-01A,DHCR24,FADS2,1,11,-1,1,2,6,1,0.55,55315306,61588853,tier2,3UTR-CDS,4773,NA,0.35451,54849633,61821381
ACC,OR-A5J7-01A,GTF2I,FLAD1,7,1,1,1,17,26,24,5.2,74072394,154960581,tier1,5UTR-CDS,7537,NA,0.3725,74658068,154988105
ACC,OR-A5J7-01A,GTF2IRD1,DUS3L,7,19,1,-1,4,1,1,1.5,73868506,5790346,tier2,5UTR-CDS,7540,NA,0.36598,74454176,5790335
ACC,OR-A5J7-01A,KIF1B,FAM58A,1,X,1,-1,166,106,99,0.49,10292492,152861645,tier1,In-frame,8959,NA,0.37045,10232434,153596187
ACC,OR-A5J7-01A,MADD,ASIP,11,20,1,1,9,3,2,0.43,47346128,32848171,tier1,CDS-5UTR,9751,NA,0.35108,47324577,34260365
ACC,OR-A5J7-01A,SBNO2,TULP2,19,19,-1,-1,4,5,4,0.31,1174171,49392888,tier1,5UTR-CDS,15357,NA,NA,1174172,48889631
ACC,OR-A5J7-01A,SCMH1,CA6,1,1,-1,1,51,37,26,0.54,41499655,9009322,tier1,In-frame,15412,NA,NA,41033983,8949263
ACC,OR-A5J8-01A,AARS2,SPATS1,6,6,-1,1,802,453,388,0.64,44278731,44328183,tier1,In-frame,18,NA,0.35016,44310994,44360446
ACC,OR-A5J8-01A,CAPRIN1,CD151,11,11,1,1,50,14,12,0.84,34112225,838133,tier1,In-frame,2972,NA,0.36218,34090678,838133
ACC,OR-A5J8-01A,COL3A1,CCT5,2,5,1,1,2,61,43,0.73,189877472,10250033,tier3,3UTR-5UTR,4015,NA,0.37643,189012746,10249921
ACC,OR-A5J8-01A,EIF4H,AARS2,7,6,1,-1,140,188,172,4.5,73588772,44280000,tier1,Out-of-frame,5482,NA,0.35137,74174442,44312263
ACC,OR-A5J8-01A,NFKBIE,FBXO9,6,6,-1,1,8,5,4,0.12,44232719,52935855,tier1,Out-of-frame,11513,NA,0.37207,44264982,53071057
ACC,OR-A5J8-01A,POSTN,PTN,13,7,-1,-1,2,63,21,0.19,38136726,136938384,tier3,3UTR-CDS,13191,NA,0.36082,37562589,137253637
ACC,OR-A5J9-01A,ITPKA,NUSAP1,15,15,1,1,12,6,4,100,41786614,41634584,tier1,In-frame,8439,NA,0.3689,41494416,41342386
ACC,OR-A5J9-01A,NCS1,GPR107,9,9,1,1,6,7,6,0.38,132935006,132889762,tier1,Out-of-frame,11265,NA,0.335,130172727,130127483
ACC,OR-A5J9-01A,BSG,STAT6,19,12,1,-1,2,30,19,1,583492,57496773,tier3,NA,2250,NA,0.37685,583492,57102990
ACC,OR-A5J9-01A,DNM2,SLC47A1,19,17,1,1,2,3,2,0.054,10942573,19482057,tier2,3UTR-3UTR,4991,NA,0.37695,10831897,19578744
ACC,OR-A5J9-01A,PPP2R5C,PRKD1,14,14,1,-1,14,2,2,0.049,102276373,30069023,tier1,Out-of-frame,13412,NA,0.3875,101810036,29599817
ACC,OR-A5J9-01A,RAD51B,BAZ1A,14,14,1,-1,3,1,1,1.9,68353921,35228052,tier3,Out-of-frame,14166,NA,NA,67887204,34758846
ACC,OR-A5JA-01A,VCP,KIAA1539,9,9,-1,-1,3,8,7,0.9,35072334,35108734,tier1,CDS-5UTR,19539,NA,NA,35072337,35108737
ACC,OR-A5JA-01A,FRS2,NTN4,12,12,1,-1,2,2,1,0.25,69864310,96063922,tier3,5UTR-CDS,6768,NA,0.37869,69470530,95670146
ACC,OR-A5JA-01A,NTN4,PAH,12,12,-1,-1,7,8,7,0.044,96076483,103288696,tier1,Out-of-frame,11835,NA,0.35736,95682707,102894918
ACC,OR-A5JA-01A,PAH,METAP2,12,12,-1,1,6,7,7,0.53,103288513,95906577,tier1,Out-of-frame,12192,NA,0.36769,102894735,95512801
ACC,OR-A5JA-01A,SEPT9,VAV1,17,19,1,1,3,3,3,0.46,75369634,6836443,tier1,In-frame,15623,NA,NA,77373552,6836432
ACC,OR-A5JB-01A,S100A6,DDX27,1,20,-1,1,2,830,670,0.018,153507075,47849303,tier3,NA,15237,NA,NA,153534599,49232766
ACC,OR-A5JC-01A,FAM19A4,LMOD3,3,3,-1,-1,6,8,6,1.2,68929881,69171560,tier1,CDS-5UTR,6152,NA,0.34075,68880730,69122409
ACC,OR-A5JC-01A,HERC1,DAPK2,15,15,-1,-1,2,3,3,0.12,63956669,64275953,tier2,Out-of-frame,7706,NA,0.38236,63664470,63983754
ACC,OR-A5JE-01A,NSD1,ZNF346,5,5,1,1,8,3,2,0.1,176563031,176489059,tier1,Out-of-frame,11788,NA,0.37242,177136030,177062058
ACC,OR-A5JE-01A,SLC12A4,DPEP2,16,16,-1,-1,11,2,2,1.3,67991645,68033651,tier1,CDS-5UTR,16011,NA,NA,67957742,67999748
ACC,OR-A5JE-01A,IFI27,NDUFV1,14,11,1,1,2,114,95,100,94583027,67375697,tier3,NA,8058,NA,0.35775,94116690,67608226
ACC,OR-A5JE-01A,SETX,RAB14,9,9,-1,-1,11,10,9,0.039,135230304,123955697,tier1,5UTR-5UTR,15718,NA,NA,132354917,121193419
ACC,OR-A5JF-01A,CLU,SEC63,8,6,-1,-1,2,190,173,0.058,27455514,108214782,tier3,NA,3873,NA,0.36465,27597997,107893578
ACC,OR-A5JG-01A,EEF2,TYK2,19,19,-1,-1,2,14,12,0.49,3976055,10491352,tier3,3UTR-5UTR,5321,NA,0.37662,3976057,10380676
ACC,OR-A5JG-01A,GNAS,PSAP,20,10,1,-1,2,28,1,1.3,57486241,73579657,tier4,3UTR-CDS,7197,NA,0.3743,58911186,71819900
ACC,OR-A5JJ-01A,RALGAPA2,ZNFX1,20,20,-1,-1,2,2,2,0.66,20693018,47855837,tier2,Out-of-frame,14221,NA,NA,20712375,49239300
ACC,OR-A5JK-01A,PHF15,UBE2B,5,5,1,1,18,12,10,2,133861701,133725916,tier1,5UTR-CDS,12706,NA,0.3643,134526011,134390225
ACC,OR-A5JK-01A,GNAS,TSPAN7,20,X,1,1,2,56,7,3.1,57486241,38505515,tier3,3UTR-CDS,7207,NA,0.37253,58911186,38646262
ACC,OR-A5JK-01A,ZBTB38,C17orf64,3,17,1,1,12,4,4,0.26,141088788,58508542,tier1,NA,20109,NA,NA,141369946,60431181
ACC,OR-A5JL-01A,GTF2A1,POMT2,14,14,-1,-1,30,21,17,1.1,81686833,77769286,tier1,Out-of-frame,7512,NA,0.37077,81220489,77302943
ACC,OR-A5JM-01A,HDAC7,VDR,12,12,-1,-1,16,9,7,0.2,48213550,48258960,tier1,Out-of-frame,7632,NA,0.37963,47819767,47865177
ACC,OR-A5JM-01A,DLK1,STAT6,14,12,1,-1,3,10,2,0.85,101201464,57496773,tier1,NA,4902,NA,0.37401,100735127,57102990
ACC,OR-A5JM-01A,SCARB2,SGMS1,4,10,-1,-1,8,7,6,0.64,77134580,52104105,tier1,CDS-5UTR,15394,NA,NA,76213427,50344345
ACC,OR-A5JM-01A,TAF6L,PCYT1A,11,3,1,-1,14,14,14,5.1,62538962,195969511,tier1,5UTR-CDS,17347,NA,NA,62771490,196242640
ACC,OR-A5JM-01A,TPCN1,CTD-2021H9.3,12,12,1,-1,328,177,166,0.37,113724899,71441459,tier1,Out-of-frame,18479,NA,NA,113287094,71047679
ACC,OR-A5JO-01A,TMLHE,VBP1,X,X,-1,1,8,3,3,0.59,154754117,154437152,tier1,CDS-5UTR,18075,NA,NA,155524456,155208874
ACC,OR-A5JP-01A,RAVER1,TYK2,19,19,-1,-1,2,2,1,0.16,10426895,10491352,tier3,3UTR-5UTR,14398,NA,NA,10316219,10380676
ACC,OR-A5JP-01A,WIPF2,ZPBP2,17,17,1,1,7,1,1,2,38375744,38027717,tier2,5UTR-CDS,19878,NA,NA,40219492,39871464
ACC,OR-A5JP-01A,ARMC9,BLVRB,2,19,1,-1,143,112,103,0.93,232063412,40957399,tier1,5UTR-CDS,1421,NA,0.34215,231198698,40451492
ACC,OR-A5JP-01A,GNG7,PSMD1,19,2,-1,1,7,3,3,1.8,2555147,232018278,tier1,5UTR-CDS,7237,NA,0.35609,2555149,231153564
ACC,OR-A5JP-01A,LAPTM4B,ARMC9,8,2,1,1,11,14,13,0.083,98788336,232220510,tier1,NA,9225,NA,0.34195,97776108,231355798
ACC,OR-A5JP-01A,MSI2,CA10,17,17,1,-1,12,7,7,0.26,55607085,50149753,tier1,In-frame,10714,NA,0.34688,57529724,52072393
ACC,OR-A5JP-01A,MYLIP,OR5V1,6,6,1,-1,57,18,16,0.036,16130978,29324054,tier1,CDS-5UTR,10931,NA,0.36634,16130747,29356277
ACC,OR-A5JP-01A,QSOX2,CTU2,9,16,-1,1,19,5,4,3.4,139137322,88781268,tier1,Out-of-frame,14016,NA,NA,136245476,88714860
ACC,OR-A5JP-01A,RECQL5,CACNA1G,17,17,-1,1,4,5,5,1,73654378,48667832,tier1,In-frame,14529,NA,NA,75658298,50590471
ACC,OR-A5JP-01A,SCAMP4,COX8A,19,11,1,1,210,114,100,0.54,1918989,63743697,tier1,Out-of-frame,15376,NA,NA,1918990,63976225
ACC,OR-A5JP-01A,SCARB1,EEA1,12,12,-1,-1,2,55,42,1.1,125262186,93229203,tier3,NA,15389,NA,NA,124777640,92835427
ACC,OR-A5JR-01A,ADRM1,CCT5,20,5,1,1,2,3,2,2.2,60883916,10250033,tier3,NA,549,NA,0.3641,62308860,10249921
ACC,OR-A5JR-01A,KLHDC8B,RABEP1,3,17,1,1,2,9,5,1.3,49213918,5283828,tier3,NA,9054,NA,0.36733,49176485,5380533
ACC,OR-A5JS-01A,CCDC47,TERT,17,5,-1,-1,3,2,2,0.49,61850772,1282739,tier1,5UTR-CDS,3141,NA,0.36865,63773412,1282624
ACC,OR-A5JS-01A,CCNG1,SLCO6A1,5,5,1,-1,11,4,3,0.27,162871487,101709198,tier1,3UTR-CDS,3221,NA,0.36879,163444481,102373494
ACC,OR-A5JS-01A,GJC1,SKAP1,17,17,-1,-1,43,43,37,0.43,42884762,46266862,tier1,5UTR-CDS,7078,NA,0.3785,44807394,48189500
ACC,OR-A5JS-01A,INTS2,GLIS3,17,9,-1,-1,7,3,3,1.4,59988881,3829492,tier1,Out-of-frame,8262,NA,0.35557,61911520,3829492
ACC,OR-A5JS-01A,NSD1,EFNA5,5,5,1,-1,79,42,39,0.7,176619020,106717077,tier1,In-frame,11775,NA,0.38075,177192019,107381376
ACC,OR-A5JS-01A,UIMC1,PJA2,5,5,-1,-1,3,6,6,0.45,176409470,108719221,tier1,CDS-5UTR,19220,NA,NA,176982469,109383520
ACC,OR-A5JT-01A,PHF20,SPAG4,20,20,1,1,23,14,14,100,34487570,34207117,tier1,In-frame,12712,NA,0.35505,35899648,35619195
ACC,OR-A5JT-01A,C9orf25,C11orf49,9,11,-1,1,6,2,2,3,34405863,47159196,tier1,In-frame,2817,NA,NA,34405865,47137645
ACC,OR-A5JV-01A,GPR98,CLPTM1L,5,5,1,-1,193,104,92,0.041,90281339,1318568,tier1,In-frame,7380,NA,0.34918,90985522,1318453
ACC,OR-A5JX-01A,APC,REEP2,5,5,1,1,6,2,2,0.85,112137080,137781372,tier1,In-frame,1111,NA,0.37674,112801383,138445683
ACC,OR-A5JY-01A,DGKD,SAG,2,2,1,1,3,1,1,0.17,234263320,234255453,tier2,Out-of-frame,4753,NA,0.37301,233354674,233346807
ACC,OR-A5JY-01A,MGA,NUSAP1,15,15,1,1,5,8,6,0.3,41991357,41641296,tier1,Out-of-frame,10299,NA,0.34075,41699159,41349098
ACC,OR-A5JY-01A,COMT,YPEL1,22,22,1,-1,48,18,15,0.11,19951822,22065197,tier1,CDS-5UTR,4059,NA,0.35329,19964299,21710908
ACC,OR-A5JY-01A,CREB3L2,CPA2,7,7,-1,1,73,51,43,0.1,137686350,129921944,tier1,In-frame,4192,NA,0.35224,138001604,130282104
ACC,OR-A5JY-01A,DHCR24,EPHX1,1,1,-1,1,2,1,1,0.93,55315306,225997794,tier2,NA,4770,NA,0.35433,54849633,225810092
ACC,OR-A5JY-01A,FGD4,SLCO1A2,12,12,1,-1,12,5,4,0.19,32552893,21487643,tier1,CDS-5UTR,6436,NA,0.37111,32399959,21334709
ACC,OR-A5JY-01A,HPS4,CABIN1,22,22,-1,1,31,27,25,0.099,26875231,24560368,tier1,In-frame,7955,NA,0.36649,26479265,24164400
ACC,OR-A5JY-01A,PKIB,BLK,6,8,1,1,10,1,1,0.17,122954512,11418811,tier2,5UTR-CDS,12907,NA,0.38404,122633367,11561302
ACC,OR-A5JY-01A,SCARB1,EIF3D,12,22,-1,-1,3,1,1,2.9,125262179,36922952,tier3,NA,15390,NA,NA,124777633,36526905
ACC,OR-A5JY-01A,TBL1XR1,ATG7,3,3,-1,1,2,3,2,1.4,176914909,11596285,tier4,5UTR-CDS,17544,NA,NA,177197121,11554811
ACC,OR-A5JY-01A,UBE2J1,C6orf165,6,6,-1,1,26,9,9,1.2,90062258,88173738,tier1,Out-of-frame,19079,NA,NA,89352539,87464020
ACC,OR-A5JY-01A,UBR2,PXT1,6,6,1,-1,9,2,2,2.1,42641931,36368361,tier1,Out-of-frame,19144,NA,NA,42674193,36400584
ACC,OR-A5JY-01A,VPS26B,C15orf41,11,15,1,1,11,8,8,1.2,134104947,36936479,tier1,CDS-5UTR,19640,NA,NA,134235053,36644278
ACC,OR-A5JZ-01A,CRIP2,MTA1,14,14,1,1,11,3,2,2.3,105941242,105935804,tier1,In-frame,4225,NA,0.38333,105474905,105469467
ACC,OR-A5JZ-01A,PRKAR2A,SLC25A20,3,3,-1,-1,8,5,4,1.5,48845082,48929505,tier1,Out-of-frame,13536,NA,0.37613,48807649,48892072
ACC,OR-A5JZ-01A,THRAP3,MAP7D1,1,1,1,1,87,61,45,1.9,36690106,36645267,tier1,5UTR-CDS,17789,NA,NA,36224505,36179666
ACC,OR-A5JZ-01A,C5orf56,CCDC101,5,16,1,1,25,17,15,1,131755632,28592376,tier1,CDS-5UTR,2743,NA,NA,132419940,28581055
ACC,OR-A5JZ-01A,SPEF2,C5orf42,5,5,1,-1,5,4,3,0.056,35659309,37224842,tier1,Out-of-frame,16705,NA,NA,35659207,37224740
ACC,OR-A5K1-01A,GJA1,STAT6,6,12,1,-1,2,10,8,0.12,121770873,57496773,tier3,NA,7077,NA,0.37965,121449727,57102990
ACC,OR-A5K2-01A,NUTF2,TSNAXIP1,16,16,1,1,17,75,70,0.057,67880888,67861152,tier1,5UTR-CDS,11961,NA,0.35762,67846985,67827249
ACC,OR-A5K2-01A,DHCR24,EPHX1,1,1,-1,1,2,13,1,0.93,55315306,225997794,tier3,NA,4771,NA,0.35433,54849633,225810092
ACC,OR-A5K2-01A,MAP7,AHI1,6,6,-1,-1,2,1,1,0.23,136680958,135621696,tier2,Out-of-frame,9917,NA,0.36563,136359820,135300558
ACC,OR-A5K2-01A,NFIC,C16orf55,19,16,1,1,30,23,19,0.67,3359683,89735694,tier1,Out-of-frame,11476,NA,NA,3359685,89669286
ACC,OR-A5K5-01A,BRK1,FANCD2,3,3,1,1,47,27,27,0.065,10157503,10138010,tier4,Out-of-frame,2220,NA,0.35554,10115819,10096326
ACC,OR-A5K5-01A,CARM1,C19orf38,19,19,1,1,26,44,40,0.4,10982598,10979894,tier1,Out-of-frame,2995,NA,NA,10871922,10869218
ACC,OR-A5K5-01A,DNM2,QTRT1,19,19,1,1,48,63,50,0.002,10829079,10817978,tier1,Out-of-frame,4982,NA,0.37763,10718403,10707302
ACC,OR-A5K5-01A,MED16,C19orf22,19,19,-1,-1,49,48,46,0.057,871926,897540,tier1,In-frame,10202,NA,NA,871926,897540
ACC,OR-A5K5-01A,TMEM87B,MERTK,2,2,1,1,19,6,6,0.21,112817614,112785928,tier1,Out-of-frame,18061,NA,NA,112060037,112028351
ACC,OR-A5K5-01A,ZDHHC19,PCYT1A,3,3,-1,-1,37,8,3,0.9,195934269,195941244,tier1,NA,20210,NA,NA,196207398,196214373
ACC,OR-A5K5-01A,BTRC,MICU1,10,10,1,-1,5,8,8,0.004,103113985,74326552,tier1,CDS-5UTR,2284,NA,0.38054,101354228,72566794
ACC,OR-A5K5-01A,KTN1,CCT5,14,5,1,1,2,4,2,0.004,56151301,10250033,tier3,3UTR-5UTR,9169,NA,0.36778,55684583,10249921
ACC,OR-A5K5-01A,LDLR,CCDC130,19,19,1,1,62,31,29,1.1,11200291,13842989,tier1,CDS-5UTR,9266,NA,0.37357,11089615,13732175
ACC,OR-A5K5-01A,MMS19,NDUFV1,10,11,-1,1,2,5,4,0.75,99218083,67375697,tier3,NA,10554,NA,0.36073,97458326,67608226
ACC,OR-A5K5-01A,MSH5,BSCL2,6,11,1,-1,6,4,4,3.5,31726954,62460269,tier1,In-frame,10707,NA,0.34888,31759177,62692797
ACC,OR-A5K5-01A,MYO1F,LRSAM1,19,9,-1,1,4,4,4,0.52,8642191,130214208,tier1,CDS-5UTR,10985,NA,0.37689,8577307,127451929
ACC,OR-A5K5-01A,RAB8A,PLVAP,19,19,1,-1,29,18,17,0.61,16222835,17477004,tier2,Out-of-frame,14128,NA,NA,16112025,17366195
ACC,OR-A5K5-01A,RPRD1B,MEF2B,20,19,1,-1,9,4,4,0.27,36694658,19267951,tier1,CDS-5UTR,15024,NA,NA,38066256,19157142
ACC,OR-A5K5-01A,SENP2,MSH5,3,6,1,1,4,6,5,0.81,185316812,31726543,tier1,In-frame,15574,NA,NA,185599024,31758766
ACC,OR-A5K5-01A,SIK3,CTNNBIP1,11,1,-1,-1,50,38,34,0.056,116968859,9910834,tier1,Out-of-frame,15918,NA,NA,117098143,9850776
ACC,OR-A5K5-01A,TXNDC11,BAMBI,16,10,-1,1,8,11,11,0.21,11836333,28970187,tier1,Out-of-frame,18978,NA,NA,11742477,28681258
ACC,OR-A5K5-01A,TXNDC11,CIB4,16,2,-1,-1,27,20,16,0.024,11829873,26863435,tier1,In-frame,18979,NA,NA,11736017,26640567
ACC,OR-A5K6-01A,ERN1,TEX2,17,17,-1,-1,173,52,46,0.21,62141346,62238293,tier1,In-frame,5788,NA,0.38155,64063986,64160933
ACC,OR-A5K9-01A,ANKRD52,DYRK2,12,12,-1,1,2,1,1,0.065,56641277,68050886,tier2,In-frame,1000,NA,0.37918,56247493,67657106
ACC,OR-A5K9-01A,APOE,CLCN3,19,4,1,1,2,220,163,3.6,45412650,170623929,tier4,NA,1142,NA,0.3699,44909393,169702778
ACC,OR-A5K9-01A,FAM19A2,IKZF4,12,12,-1,1,5,5,5,0.77,62585040,56418838,tier1,5UTR-CDS,6145,NA,0.37083,62191259,56025054
ACC,OR-A5K9-01A,MLLT1,PRLR,19,5,-1,-1,6,1,1,0.54,6270590,35118224,tier2,CDS-5UTR,10502,NA,0.37653,6270579,35118122
ACC,OR-A5KO-01A,NT5DC1,SLC35F1,6,6,1,1,5,2,2,0.54,116439108,118588158,tier2,Out-of-frame,11820,NA,0.34041,116117945,118266995
ACC,OR-A5KT-01A,CCT2,KRT78,12,12,1,-1,5,5,5,0.2,69981786,53242405,tier1,NA,3250,NA,0.37014,69588006,52848621
ACC,OR-A5KT-01A,EEF2,SEC63,19,6,-1,-1,2,88,67,2.5,3976055,108214782,tier3,NA,5313,NA,0.3691,3976057,107893578
ACC,OR-A5KT-01A,SLC16A7,RP11-762I7.5,12,12,1,-1,10,11,10,3.5,59990017,56154424,tier1,NA,16039,NA,NA,59596236,55760640
ACC,OR-A5KT-01A,SPATS2,TSPAN8,12,12,1,-1,6,3,3,0.62,49908396,71533628,tier1,Out-of-frame,16685,NA,NA,49514613,71139848
ACC,OR-A5KT-01A,SPOP,AARSD1,17,17,-1,-1,6,2,2,2.9,47688642,41116254,tier1,Out-of-frame,16751,NA,NA,49611280,42964237
ACC,OR-A5KT-01A,WIBG,SLC16A7,12,12,-1,1,66,36,35,0.2,56297171,60173204,tier2,Out-of-frame,19861,NA,NA,55903387,59779423
ACC,OR-A5KU-01A,RNF41,CS,12,12,-1,-1,51,12,11,0.36,56607742,56669979,tier2,In-frame,14843,NA,NA,56213958,56276195
ACC,OR-A5KV-01A,KDM6A,FUNDC1,X,X,1,-1,263,158,143,0.25,44833960,44401347,tier1,Out-of-frame,8707,NA,0.33314,44974715,44542101
ACC,OR-A5KV-01A,PIN1,PPP2R3C,19,14,1,-1,2,2,1,0.38,9960365,35585943,tier3,3UTR-CDS,12858,NA,0.36085,9849689,35116737
ACC,OR-A5KV-01A,REPS2,APOO,X,X,1,-1,3,4,4,1.1,16965257,23899069,tier1,In-frame,14543,NA,NA,16947134,23880952
ACC,OR-A5KW-01A,BRMS1L,ZNF839,14,14,1,1,13,4,4,3.8,36304129,102805153,tier1,In-frame,2223,NA,0.35045,35834923,102338816
